itemcode,etfTabCode,itemname,nowVal,risefall,changeVal,changeRate,nav,threeMonthEarnRate,quant,amonut,marketSum
069500,1,KODEX 200,111030,2,695,0.63,111142.0,-7.5301,3254514,362088,258089
360750,4,TIGER 미국S&P500,25515,5,-145,-0.57,25517.0,-8.6875,5179085,131974,201773
133690,4,TIGER 미국나스닥100,175075,5,-945,-0.54,175182.0,-10.901,498282,87180,114517
102110,1,TIGER 200,111295,2,635,0.57,111407.0,-7.3286,1744731,194621,103838
396500,2,TIGER 반도체TOP10,37565,2,335,0.9,37623.0,-15.5591,1925915,72742,99942
379800,4,KODEX 미국S&P500,23195,5,-135,-0.58,23196.0,-8.7164,3486962,80798,99901
379810,4,KODEX 미국나스닥100,26175,5,-140,-0.53,26192.0,-10.7842,3260667,85293,90199
488770,7,KODEX 머니마켓액티브,105465,2,5,0.0,105468.0,0.8559,75376,7949,79361
278530,1,KODEX 200TR,40220,2,225,0.56,40263.0,-7.419,179138,7223,78610
459580,6,KODEX CD금리액티브(합성),1074207,2,87,0.01,1074411.0,0.7252,190547,204686,65318
498400,2,KODEX 200타겟위클리커버드콜,20990,2,115,0.55,21001.0,-7.6182,1245289,26172,60346
122630,3,KODEX 레버리지,113425,2,1275,1.14,113584.0,-29.0931,2360890,268604,59945
091160,2,KODEX 반도체,133850,2,2315,1.76,134096.0,-7.311,388490,52136,58091
0167A0,2,SOL AI반도체TOP2플러스,18000,2,225,1.27,18033.0,-15.1754,2581856,46611,56952
381180,4,TIGER 미국필라델피아반도체나스닥,41410,5,-70,-0.17,41489.0,-16.1604,519825,21551,56214
229200,1,KODEX 코스닥150,13915,2,225,1.64,13954.0,-13.2996,5360288,74662,46887
148020,1,RISE 200,111845,2,615,0.55,111978.0,-7.4243,145422,16303,45521
310970,1,TIGER MSCI Korea TR,49630,2,220,0.45,49655.0,-7.3852,378,18,45014
458730,4,TIGER 미국배당다우존스,14560,5,-95,-0.65,14566.0,-5.813,627721,9129,42195
0162Z0,7,RISE 삼성전자SK하이닉스채권혼합50,13735,2,55,0.4,13754.0,-0.0821,1754331,24106,42015
395160,2,KODEX AI반도체TOP2플러스,40930,2,155,0.38,41014.0,-9.3889,848400,34903,41462
411060,5,ACE KRX금현물,26335,5,-365,-1.37,26257.0,-7.9945,232606,6123,39292
0043B0,6,TIGER 머니마켓액티브,103600,2,15,0.01,103601.0,0.8961,15079,1562,38889
360200,4,ACE 미국S&P500,25795,5,-145,-0.56,25797.0,-8.7147,239017,6156,38847
381170,4,TIGER 미국테크TOP10 INDXX,30100,5,-175,-0.58,30093.0,-10.4688,123141,3700,37204
395270,2,HANARO Fn K-반도체,58260,2,565,0.98,58343.0,-9.3488,262124,15321,36704
423160,6,KODEX KOFR금리액티브(합성),110735,2,5,0.0,110717.0,0.693,29849,3305,35638
357870,6,TIGER CD금리투자KIS(합성),58027,2,2,0.0,58026.0,0.7553,22378,1298,35593
273130,6,KODEX 종합채권(AA-이상)액티브,109830,2,20,0.02,109822.0,0.2556,521,57,34236
233740,3,KODEX 코스닥150레버리지,6780,2,210,3.2,6807.0,-35.3983,16411718,111420,34205
367380,4,ACE 미국나스닥100,30095,5,-155,-0.51,30114.0,-10.9111,114706,3449,33977
102780,2,KODEX 삼성그룹,26350,2,75,0.29,26396.0,-8.7674,53589,1416,33886
487240,2,KODEX AI전력핵심설비,36955,2,1670,4.73,37044.0,-12.6771,1294552,47834,32336
455890,6,RISE 머니마켓액티브,55505,3,0,0.0,55513.0,0.8265,18526,1028,29303
139260,2,TIGER 200 IT,139980,2,1385,1.0,140113.0,-11.6827,37927,5323,27548
0193T0,2,KODEX SK하이닉스단일종목레버리지,11490,2,335,3.0,11516.0,-43.1013,7214401,82777,26746
472150,2,TIGER 배당커버드콜액티브,20765,2,100,0.48,20788.0,-5.6039,422122,8771,26102
481050,6,KODEX CD1년금리플러스액티브(합성),1022372,2,87,0.01,1022371.0,0.7814,26135,26719,25134
426030,4,TIME 미국나스닥100액티브,45830,2,430,0.95,45905.0,-16.7355,135687,6216,24895
278540,1,KODEX MSCI Korea TR,39470,2,130,0.33,39529.0,-7.3045,5740,227,24195
161510,2,PLUS 고배당주,25290,5,-40,-0.16,25319.0,1.2156,98942,2503,24187
486290,4,TIGER 미국나스닥100타겟데일리커버드콜,10190,5,-60,-0.59,10194.0,-11.1497,323124,3287,24094
449170,6,TIGER KOFR금리액티브(합성),111815,2,5,0.0,111797.0,0.6798,12049,1347,24038
385540,6,RISE 종합채권(A-이상)액티브,102885,2,5,0.0,102935.0,0.3658,152,15,20963
292150,2,TIGER 코리아TOP10,39150,2,350,0.9,39192.0,-7.116,85015,3331,20906
456600,4,TIME 글로벌AI인공지능액티브,57625,2,345,0.6,57664.0,-13.12,9446,543,20883
284430,6,KODEX 200미국채혼합50,20830,2,30,0.14,20835.0,-9.7455,139781,2910,20180
294400,1,KIWOOM 200TR,145800,2,860,0.59,145958.0,-7.4251,65961,9640,18662
214980,6,KODEX 단기채권PLUS,114680,3,0,0.0,114700.0,0.7491,2666,305,17997
442580,4,PLUS 글로벌HBM반도체,103160,5,-80,-0.08,103214.0,-5.6653,110082,11359,17733
105190,1,ACE 200,111305,2,670,0.61,111401.0,-7.6614,20231,2256,17419
305720,2,KODEX 2차전지산업,14475,3,0,0.0,14491.0,-11.0873,909783,13260,16878
441640,4,KODEX 미국배당커버드콜액티브,12300,5,-110,-0.89,12306.0,-6.6663,221303,2721,16685
477080,6,RISE CD금리액티브(합성),107530,2,10,0.01,107531.0,0.7496,4870,523,16682
0195S0,2,TIGER SK하이닉스단일종목레버리지,9765,2,305,3.22,9779.0,-42.5797,2928531,28641,16078
0193W0,2,KODEX 삼성전자단일종목레버리지,12555,2,5,0.04,12613.0,-38.0859,1629130,20544,15826
446770,4,ACE 글로벌반도체TOP4 Plus,77925,2,400,0.52,77989.0,-9.379,17396,1354,15780
0177N0,7,KODEX 삼성전자SK하이닉스채권혼합50,14510,2,110,0.76,14515.0,-0.0266,944811,13708,15642
368590,4,RISE 미국나스닥100,29210,5,-160,-0.54,29219.0,-10.7974,21185,617,15481
329200,2,TIGER 리츠부동산인프라,4050,3,0,0.0,4047.0,10.1525,505506,2043,15481
152100,1,PLUS 200,112745,2,645,0.58,112831.0,-7.3705,133707,15102,15333
487230,4,KODEX 미국AI전력핵심인프라,19955,2,455,2.33,20012.0,-22.1899,171987,3433,15146
466920,2,SOL 조선TOP3플러스,28215,2,695,2.53,28302.0,-17.3574,430599,12214,14940
453850,6,ACE 미국30년국채액티브(H),7155,2,10,0.14,7161.0,-2.3274,213937,1530,14932
379780,4,RISE 미국S&P500,22310,5,-140,-0.62,22307.0,-8.6451,21553,480,14925
226490,1,KODEX 코스피,71710,2,470,0.66,71890.0,-7.4113,19185,1379,14844
091230,2,TIGER 반도체,141300,2,3095,2.24,141632.0,-7.1896,49911,7079,14102
232080,1,TIGER 코스닥150,14195,2,225,1.61,14232.0,-13.4985,1762730,25084,13729
475630,7,TIGER CD1년금리액티브(합성),1076640,2,90,0.01,1076639.0,0.7793,66406,71495,12993
157450,6,TIGER 단기통안채,112600,2,10,0.01,112599.0,0.6346,2075,233,12968
448330,1,KODEX 삼성전자채권혼합,17520,2,15,0.09,17552.0,0.0657,115978,2032,12947
436140,6,SOL 종합채권(AA-이상)액티브,106145,3,0,0.0,106145.0,0.3118,0,0,12665
390390,4,KODEX 미국반도체,52240,5,-90,-0.17,52310.0,-12.9649,140882,7361,12564
438080,7,ACE 미국S&P500미국채혼합50액티브,13645,5,-50,-0.37,13641.0,-10.3144,99641,1357,12089
469150,2,ACE AI반도체TOP3+,61310,2,660,1.09,61389.0,-10.8089,109740,6752,11925
0072R0,5,TIGER KRX금현물,12570,5,-200,-1.57,12548.0,-8.1956,225435,2838,11671
0183J0,4,TIGER 미국우주테크,7660,2,295,4.01,7642.0,-45.6458,593005,4534,11337
494890,1,KODEX 200액티브,32010,2,195,0.61,32031.0,-7.4023,26760,857,10947
0139F0,6,TIGER 12월자동연장금융채(AA-이상)액티브,102180,2,15,0.01,102177.0,0.7991,1,0,10809
445290,2,KODEX 로봇액티브,30990,2,350,1.14,31006.0,-22.4496,65623,2031,10800
356540,6,ACE 종합채권(AA-이상)액티브,101195,5,-30,-0.03,101237.0,0.5163,5004,506,10734
455850,2,SOL AI반도체소부장,25660,2,625,2.5,25693.0,-3.3398,631992,16294,10713
497570,4,TIGER 미국필라델피아AI반도체나스닥,21195,2,150,0.71,21230.0,-12.5555,102021,2163,10661
494310,2,KODEX 반도체레버리지,85570,2,3665,4.47,85515.0,-34.5546,758966,65294,10611
451540,6,TIGER 종합채권(AA-이상)액티브,52780,2,25,0.05,52817.0,0.3519,162,8,10436
465580,4,ACE 미국빅테크TOP7 Plus,23765,5,-95,-0.4,23777.0,-6.5048,121580,2888,10373
295040,1,SOL 200TR,41645,2,230,0.56,41681.0,-7.4215,21583,899,10370
479520,6,RISE KOFR금리액티브(합성),106435,2,10,0.01,106416.0,0.6811,2077,221,10332
0117V0,2,TIGER 코리아AI전력기기TOP3플러스,19235,2,770,4.17,19293.0,-10.8286,551692,10607,10320
449180,4,KODEX 미국S&P500(H),17125,5,-45,-0.26,17128.0,3.808,109425,1874,10318
469830,6,SOL 초단기채권액티브,54415,2,10,0.02,54414.0,0.8714,19544,1063,10178
446720,4,SOL 미국배당다우존스,13350,5,-85,-0.63,13353.0,-5.7499,156339,2083,10159
449450,2,PLUS K방산,51750,2,600,1.17,51882.0,-10.9584,78608,4104,10024
