itemcode,etfTabCode,itemname,nowVal,risefall,changeVal,changeRate,nav,threeMonthEarnRate,quant,amonut,marketSum
069500,1,KODEX 200,108000,5,-1135,-1.04,108128.0,-16.2675,13588133,1469311,252450
360750,4,TIGER 미국S&P500,26390,2,25,0.09,26389.0,-5.6765,9449037,249488,205354
133690,4,TIGER 미국나스닥100,180430,2,840,0.47,180653.0,-9.8436,1319636,238275,115998
102110,1,TIGER 200,108270,5,-1125,-1.03,108439.0,-16.089,8734157,947244,102640
379800,4,KODEX 미국S&P500,23985,2,20,0.08,23987.0,-5.6443,9543621,229093,101277
396500,2,TIGER 반도체TOP10,35280,5,-525,-1.47,35317.0,-29.6701,4693964,166262,95327
379810,4,KODEX 미국나스닥100,26980,2,125,0.47,27009.0,-9.807,6821327,184149,93729
488770,7,KODEX 머니마켓액티브,105362,2,17,0.02,105362.0,0.8472,289586,30511,84666
278530,1,KODEX 200TR,39100,5,-425,-1.08,39159.0,-16.1274,569295,22317,76773
459580,6,KODEX CD금리액티브(합성),1073297,2,87,0.01,1073548.0,0.7345,378235,405958,65204
122630,3,KODEX 레버리지,107925,5,-2465,-2.23,108216.0,-42.3566,12345002,1336532,59683
498400,2,KODEX 200타겟위클리커버드콜,20470,5,-200,-0.97,20494.0,-15.8541,3021061,61931,57582
381180,4,TIGER 미국필라델피아반도체나스닥,42310,5,-250,-0.59,42575.0,-16.0206,1178108,49905,57394
0167A0,2,SOL AI반도체TOP2플러스,17475,5,-130,-0.74,17496.0,-21.7904,7524356,132254,56261
091160,2,KODEX 반도체,125480,5,-1720,-1.35,125575.0,-22.2352,604154,76246,55588
229200,1,KODEX 코스닥150,14455,5,-45,-0.31,14479.0,-25.5074,12053989,173580,50896
148020,1,RISE 200,108830,5,-1140,-1.04,109002.0,-16.3347,1095892,119359,44729
310970,1,TIGER MSCI Korea TR,48005,5,-660,-1.36,48179.0,-15.644,1856,89,43541
458730,4,TIGER 미국배당다우존스,15200,5,-115,-0.75,15152.0,-0.9073,1638755,24924,43274
411060,5,ACE KRX금현물,28460,5,-270,-0.94,28410.0,-3.1845,567797,16196,42292
0162Z0,7,RISE 삼성전자SK하이닉스채권혼합50,13345,5,-130,-0.96,13364.0,-5.9986,2630594,35228,41169
395160,2,KODEX AI반도체TOP2플러스,39200,5,-245,-0.62,39260.0,-17.823,2385578,94028,40219
360200,4,ACE 미국S&P500,26680,2,30,0.11,26678.0,-5.6698,221246,5907,39753
381170,4,TIGER 미국테크TOP10 INDXX,30740,2,290,0.95,30766.0,-11.1339,349737,10759,37933
233740,3,KODEX 코스닥150레버리지,7365,5,-75,-1.01,7394.0,-52.4905,43867759,320935,36192
423160,6,KODEX KOFR금리액티브(합성),110645,2,25,0.02,110634.0,0.6703,37098,4104,35609
357870,6,TIGER CD금리투자KIS(합성),57980,2,10,0.02,57977.0,0.756,94693,5490,35534
395270,2,HANARO Fn K-반도체,55625,5,-470,-0.84,55700.0,-18.514,472072,26397,35183
367380,4,ACE 미국나스닥100,31025,2,145,0.47,31053.0,-9.8378,157322,4883,34686
102780,2,KODEX 삼성그룹,26645,5,-25,-0.09,26701.0,-10.5784,209453,5583,34479
487240,2,KODEX AI전력핵심설비,38290,2,260,0.68,38314.0,-25.5781,3816512,145639,33504
273130,6,KODEX 종합채권(AA-이상)액티브,110140,5,-230,-0.21,110258.0,-0.5363,22642,2496,33433
0043B0,6,TIGER 머니마켓액티브,103492,2,7,0.01,103496.0,0.8969,52958,5480,32849
455890,6,RISE 머니마켓액티브,55457,2,2,0.0,55460.0,0.8181,56672,3142,31322
139260,2,TIGER 200 IT,136515,5,-215,-0.16,136585.0,-19.3485,86597,11843,27248
472150,2,TIGER 배당커버드콜액티브,20205,5,-325,-1.58,20220.0,-14.3737,2061038,41722,26539
481050,6,KODEX CD1년금리플러스액티브(합성),1021460,2,110,0.01,1021479.0,0.7847,25987,26544,25207
426030,4,TIME 미국나스닥100액티브,45360,5,-595,-1.29,45744.0,-17.8348,409044,18601,24621
486290,4,TIGER 미국나스닥100타겟데일리커버드콜,10500,2,10,0.1,10509.0,-9.934,1620434,17029,24570
161510,2,PLUS 고배당주,25425,2,200,0.79,25464.0,-3.6914,240041,6052,24446
449170,6,TIGER KOFR금리액티브(합성),111715,2,10,0.01,111722.0,0.6623,26336,2942,24058
278540,1,KODEX MSCI Korea TR,38260,5,-495,-1.28,38355.0,-16.314,7560,290,23453
0193T0,2,KODEX SK하이닉스단일종목레버리지,10045,5,-495,-4.7,10084.0,-62.0523,14726770,150626,23324
456600,4,TIME 글로벌AI인공지능액티브,57560,5,-305,-0.53,57808.0,-11.7172,87178,5041,21055
292150,2,TIGER 코리아TOP10,37860,5,-240,-0.63,37910.0,-16.3783,150331,5702,20388
284430,6,KODEX 200미국채혼합50,20875,5,-185,-0.88,20902.0,-10.6437,196054,4105,20374
385540,6,RISE 종합채권(A-이상)액티브,103150,5,-160,-0.15,103200.0,-0.6348,163,16,19309
214980,6,KODEX 단기채권PLUS,114600,2,25,0.02,114630.0,0.6174,27085,3104,18256
294400,1,KIWOOM 200TR,141685,5,-1685,-1.18,141940.0,-16.1236,161110,22866,18065
305720,2,KODEX 2차전지산업,15260,2,125,0.83,15277.0,-20.5512,1654008,24943,17610
105190,1,ACE 200,108180,5,-1205,-1.1,108378.0,-16.3539,81832,8871,17038
441640,4,KODEX 미국배당커버드콜액티브,12755,5,-40,-0.31,12731.0,-2.0787,502201,6406,16971
442580,4,PLUS 글로벌HBM반도체,98585,5,-2725,-2.69,99349.0,-12.8479,309283,30637,16888
477080,6,RISE CD금리액티브(합성),107445,2,15,0.01,107445.0,0.7266,14993,1610,16668
446770,4,ACE 글로벌반도체TOP4 Plus,77230,5,-320,-0.41,77465.0,-13.7862,19034,1473,15562
368590,4,RISE 미국나스닥100,30090,2,140,0.47,30129.0,-9.8153,123203,3709,15496
329200,2,TIGER 리츠부동산인프라,4050,2,5,0.12,4053.0,-3.2369,1856148,7515,15433
0193W0,2,KODEX 삼성전자단일종목레버리지,11770,5,-525,-4.27,11788.0,-46.1455,4843578,57826,15266
0177N0,7,KODEX 삼성전자SK하이닉스채권혼합50,14105,5,-155,-1.09,14117.0,-5.6617,2016783,28563,15262
453850,6,ACE 미국30년국채액티브(H),7185,5,-35,-0.48,7201.0,-1.3688,267021,1921,15160
466920,2,SOL 조선TOP3플러스,28310,5,-155,-0.54,28350.0,-29.9065,496340,14123,15018
152100,1,PLUS 200,109575,5,-1240,-1.12,109826.0,-16.0534,495067,54328,14902
379780,4,RISE 미국S&P500,23065,2,20,0.09,23070.0,-5.6495,70288,1622,14877
487230,4,KODEX 미국AI전력핵심인프라,19465,5,-420,-2.11,19420.0,-24.6067,347265,6754,14696
475630,7,TIGER CD1년금리액티브(합성),1075740,2,130,0.01,1075743.0,0.7889,23142,24894,14230
0195S0,2,TIGER SK하이닉스단일종목레버리지,8515,5,-395,-4.43,8547.0,-62.3972,8313213,71966,14190
226490,1,KODEX 코스피,70200,5,-550,-0.78,70334.0,-16.4429,61328,4310,14180
232080,1,TIGER 코스닥150,14750,5,-35,-0.24,14767.0,-25.7036,2867026,42103,13800
436140,6,SOL 종합채권(AA-이상)액티브,106445,5,-25,-0.02,106536.0,-0.732,53753,5731,13498
091230,2,TIGER 반도체,132380,5,-2110,-1.57,132639.0,-21.3502,79699,10629,13370
157450,6,TIGER 단기통안채,112515,3,0,0.0,112514.0,0.644,4467,502,12826
448330,1,KODEX 삼성전자채권혼합,17380,5,-70,-0.4,17370.0,-1.5355,301208,5244,12740
390390,4,KODEX 미국반도체,53345,2,120,0.23,53677.0,-13.8453,378386,20218,12643
0072R0,5,TIGER KRX금현물,13585,5,-110,-0.8,13577.0,-3.4204,359461,4892,12587
438080,7,ACE 미국S&P500미국채혼합50액티브,14070,5,-20,-0.14,14057.0,-6.3788,184331,2596,12339
469150,2,ACE AI반도체TOP3+,57395,5,-705,-1.21,57453.0,-25.5606,163856,9420,11336
0183J0,4,TIGER 미국우주테크,7725,5,-30,-0.39,7713.0,-58.3848,574731,4436,11313
497570,4,TIGER 미국필라델피아AI반도체나스닥,21605,2,70,0.33,21691.0,-10.7048,305981,6616,10846
0139F0,6,TIGER 12월자동연장금융채(AA-이상)액티브,102105,5,-5,0.0,102102.0,0.7797,1,0,10801
494890,1,KODEX 200액티브,31130,5,-390,-1.24,31174.0,-16.2747,105568,3295,10709
449450,2,PLUS K방산,54805,5,-925,-1.66,54822.0,-22.4519,144871,7957,10703
0117V0,2,TIGER 코리아AI전력기기TOP3플러스,20085,2,90,0.45,20107.0,-22.9442,2320270,46504,10695
445290,2,KODEX 로봇액티브,30620,5,-305,-0.99,30649.0,-25.9882,174597,5350,10671
465580,4,ACE 미국빅테크TOP7 Plus,24295,2,255,1.06,24303.0,-7.4317,565797,13750,10568
446720,4,SOL 미국배당다우존스,13935,5,-85,-0.61,13889.0,-1.0255,224524,3130,10521
356540,6,ACE 종합채권(AA-이상)액티브,101425,5,-225,-0.22,101443.0,-0.4554,65417,6644,10369
479520,6,RISE KOFR금리액티브(합성),106355,2,15,0.01,106348.0,0.6816,3201,340,10324
449180,4,KODEX 미국S&P500(H),17255,2,65,0.38,17254.0,2.0516,283028,4881,10301
455850,2,SOL AI반도체소부장,24375,5,-200,-0.81,24415.0,-21.8601,709786,17375,10298
451540,6,TIGER 종합채권(AA-이상)액티브,52925,5,-125,-0.24,52957.0,-0.6555,1434,75,10271
479080,6,1Q 머니마켓액티브,53750,2,10,0.02,53746.0,0.8633,14785,794,10148
494300,4,KODEX 미국나스닥100데일리커버드콜OTM,9015,2,15,0.17,9020.0,-13.3936,865747,7807,10142
469830,6,SOL 초단기채권액티브,54360,2,5,0.01,54362.0,0.8628,46362,2520,10109
295040,1,SOL 200TR,40470,5,-495,-1.21,40547.0,-16.0984,70553,2865,9956
237350,1,KODEX 코스피100,86190,5,-1100,-1.26,86295.0,-16.393,69964,6040,9783
402970,4,ACE 미국배당다우존스,15460,5,-115,-0.74,15426.0,-0.9529,308873,4778,9755
315930,2,KODEX Top5PlusTR,80175,5,-510,-0.63,80288.0,-17.5885,11920,955,9701
494310,2,KODEX 반도체레버리지,75595,5,-2230,-2.87,75789.0,-51.714,1727426,132036,9638
495050,1,RISE 코리아밸류업,32270,5,-170,-0.52,32317.0,-15.6703,34409,1109,9600
305540,2,TIGER 2차전지테마,19220,2,210,1.1,19248.0,-18.377,177269,3372,9562
438100,7,ACE 미국나스닥100미국채혼합50액티브,15200,2,15,0.1,15191.0,-8.4414,114083,1735,9348
0117L0,6,KODEX 26-12 금융채(AA-이상)액티브,10150,5,-5,-0.05,10153.0,0.6442,5388,54,9219
