itemcode,etfTabCode,itemname,nowVal,risefall,changeVal,changeRate,nav,threeMonthEarnRate,quant,amonut,marketSum
069500,1,KODEX 200,101620,5,-6930,-6.38,101711.0,-7.6982,17405682,1779108,239569
360750,4,TIGER 미국S&P500,26615,5,-380,-1.41,26652.0,-1.0929,30183490,806941,203991
133690,4,TIGER 미국나스닥100,181670,5,-4230,-2.28,182465.0,-3.0503,3318083,606755,113562
379800,4,KODEX 미국S&P500,24195,5,-350,-1.43,24227.0,-1.075,22798457,553675,100216
102110,1,TIGER 200,101815,5,-6920,-6.36,101906.0,-7.6902,11932405,1221773,98506
379810,4,KODEX 미국나스닥100,27160,5,-630,-2.27,27277.0,-3.0133,15206516,415593,92493
396500,2,TIGER 반도체TOP10,33315,5,-2625,-7.3,33365.0,-21.2102,14852874,500174,89118
488770,7,KODEX 머니마켓액티브,105265,2,10,0.01,105274.0,0.8382,598536,63006,79779
278530,1,KODEX 200TR,36815,5,-2505,-6.37,36837.0,-7.6237,1715556,63355,73170
459580,6,KODEX CD금리액티브(합성),1075115,2,85,0.01,1075264.0,0.7172,466940,502012,66269
381180,4,TIGER 미국필라델피아반도체나스닥,43140,5,-2490,-5.46,43658.0,1.0515,1986090,86507,58131
498400,2,KODEX 200타겟위클리커버드콜,19230,5,-1235,-6.03,19253.0,-8.1874,8195332,158272,55344
0167A0,2,SOL AI반도체TOP2플러스,16575,5,-1070,-6.06,16590.0,-2.8894,20501188,343652,53438
229200,1,KODEX 코스닥150,14220,2,30,0.21,14251.0,-23.2559,27567999,390999,52074
091160,2,KODEX 반도체,118130,5,-7275,-5.8,118178.0,-14.253,2037507,243141,52036
122630,3,KODEX 레버리지,96290,5,-14175,-12.83,96368.0,-29.7967,17264690,1677861,51515
148020,1,RISE 200,102390,5,-7005,-6.4,102480.0,-7.6233,1548562,159291,43465
458730,4,TIGER 미국배당다우존스,15295,5,-50,-0.33,15271.0,2.8508,1672624,25663,42734
310970,1,TIGER MSCI Korea TR,45355,5,-3045,-6.29,45321.0,-7.5631,7500,340,41137
411060,5,ACE KRX금현물,27280,5,-620,-2.22,27268.0,-7.9056,666217,18271,40183
360200,4,ACE 미국S&P500,26905,5,-395,-1.45,26943.0,-1.0812,594777,16069,39712
0162Z0,7,RISE 삼성전자SK하이닉스채권혼합50,12770,5,-555,-4.17,12784.0,-0.0151,5898731,75745,39204
381170,4,TIGER 미국테크TOP10 INDXX,30655,5,-540,-1.73,30745.0,-9.4485,445914,13732,37767
395160,2,KODEX AI반도체TOP2플러스,36985,5,-3065,-7.65,36995.0,3.5418,6233983,232419,37281
233740,3,KODEX 코스닥150레버리지,7180,2,25,0.35,7195.0,-49.8775,107052187,765704,36955
423160,6,KODEX KOFR금리액티브(합성),110815,3,0,0.0,110805.0,0.6794,49058,5436,35966
357870,6,TIGER CD금리투자KIS(합성),57920,2,5,0.01,57923.0,0.7304,157142,9101,35497
367380,4,ACE 미국나스닥100,31230,5,-725,-2.27,31365.0,-3.053,628781,19759,34603
273130,6,KODEX 종합채권(AA-이상)액티브,109440,2,155,0.14,109421.0,-1.01,10121,1107,33395
395270,2,HANARO Fn K-반도체,52515,5,-4270,-7.52,52518.0,1.8108,1925969,102223,33189
102780,2,KODEX 삼성그룹,25035,5,-1285,-4.88,25016.0,0.6116,579091,14507,32295
487240,2,KODEX AI전력핵심설비,35780,5,-1025,-2.78,35768.0,-30.2674,3549840,126514,31522
455890,6,RISE 머니마켓액티브,55405,3,0,0.0,55410.0,0.7913,177580,9839,29991
0043B0,6,TIGER 머니마켓액티브,103387,2,12,0.01,103390.0,0.8585,82890,8569,29057
139260,2,TIGER 200 IT,127995,5,-9815,-7.12,128080.0,-3.0448,496938,64095,25906
481050,6,KODEX CD1년금리플러스액티브(합성),1023190,2,80,0.01,1023202.0,0.7577,14166,14494,25659
426030,4,TIME 미국나스닥100액티브,45970,5,-3090,-6.3,46651.0,-5.9523,900307,41865,24603
449170,6,TIGER KOFR금리액티브(합성),111630,2,5,0.0,111631.0,0.6537,56316,6286,24369
161510,2,PLUS 고배당주,24880,5,-455,-1.8,24876.0,-5.3268,646317,16039,23646
486290,4,TIGER 미국나스닥100타겟데일리커버드콜,10700,5,-235,-2.15,10750.0,-3.5609,2227256,24026,23331
278540,1,KODEX MSCI Korea TR,36090,5,-2460,-6.38,36080.0,-7.3429,19880,719,22051
472150,2,TIGER 배당커버드콜액티브,19400,5,-1295,-6.26,19372.0,-6.6281,5049531,98329,21943
456600,4,TIME 글로벌AI인공지능액티브,57575,5,-3400,-5.58,58184.0,-0.5951,313925,18220,21234
284430,6,KODEX 200미국채혼합50,20410,5,-740,-3.5,20402.0,-5.7431,619181,12702,19920
0193T0,2,KODEX SK하이닉스단일종목레버리지,8030,5,-1880,-18.97,8042.0,,33442218,277874,19533
292150,2,TIGER 코리아TOP10,35800,5,-2220,-5.84,35799.0,-8.1721,638078,22944,19296
385540,6,RISE 종합채권(A-이상)액티브,102485,2,170,0.17,102466.0,-1.0111,313,32,19071
214980,6,KODEX 단기채권PLUS,114520,5,-10,-0.01,114542.0,0.6393,25836,2958,18398
105190,1,ACE 200,101870,5,-6850,-6.3,101941.0,-8.0142,522034,53478,17471
294400,1,KIWOOM 200TR,133455,5,-8900,-6.25,133507.0,-7.6756,166335,22259,17216
441640,4,KODEX 미국배당커버드콜액티브,12875,5,-100,-0.77,12854.0,1.7737,927643,11993,16918
477080,6,RISE CD금리액티브(합성),107342,2,7,0.01,107344.0,0.7083,3124,335,16652
442580,4,PLUS 글로벌HBM반도체,96570,5,-7635,-7.33,97523.0,5.8348,514245,50391,16620
305720,2,KODEX 2차전지산업,14165,5,-55,-0.39,14166.0,-26.2066,1836384,25829,16446
368590,4,RISE 미국나스닥100,30305,5,-705,-2.27,30429.0,-2.977,163794,4996,15395
329200,2,TIGER 리츠부동산인프라,4082,5,-33,-0.8,4077.0,-0.906,2989115,12199,15363
446770,4,ACE 글로벌반도체TOP4 Plus,76030,5,-4060,-5.07,76523.0,-2.5131,73456,5631,15320
379780,4,RISE 미국S&P500,23270,5,-355,-1.5,23299.0,-0.97,130157,3043,15312
487230,4,KODEX 미국AI전력핵심인프라,20235,5,-1635,-7.48,20454.0,-18.4858,861795,17629,15186
466920,2,SOL 조선TOP3플러스,28100,5,-940,-3.24,28149.0,-21.1727,868713,24316,15048
453850,6,ACE 미국30년국채액티브(H),7110,2,50,0.71,7096.0,-1.8368,886950,6293,14903
0193W0,2,KODEX 삼성전자단일종목레버리지,10980,5,-1960,-15.15,11004.0,,7797575,87044,14565
152100,1,PLUS 200,103155,5,-7000,-6.35,103229.0,-7.8295,552793,57372,14545
475630,7,TIGER CD1년금리액티브(합성),1074685,2,100,0.01,1074688.0,0.7618,23319,25060,14479
0177N0,7,KODEX 삼성전자SK하이닉스채권혼합50,13495,5,-615,-4.36,13502.0,0.2825,4224141,57287,14453
232080,1,TIGER 코스닥150,14490,5,-25,-0.17,14530.0,-23.0382,4051375,58982,13545
436140,6,SOL 종합채권(AA-이상)액티브,105770,2,140,0.13,105750.0,-0.9332,826,87,13386
157450,6,TIGER 단기통안채,112425,3,0,0.0,112431.0,0.6175,8742,982,12914
390390,4,KODEX 미국반도체,53690,5,-2510,-4.47,54215.0,-0.1852,748332,40579,12832
091230,2,TIGER 반도체,125350,5,-7290,-5.5,125337.0,-13.6252,164398,20805,12736
0183J0,4,TIGER 미국우주테크,8550,5,-365,-4.09,8721.0,-34.9271,1467116,12719,12496
448330,1,KODEX 삼성전자채권혼합,17080,5,-390,-2.23,17079.0,1.715,790222,13522,12468
438080,7,ACE 미국S&P500미국채혼합50액티브,14220,5,-175,-1.22,14222.0,-3.1293,359591,5142,12343
0072R0,5,TIGER KRX금현물,13000,5,-325,-2.44,13031.0,-7.8493,684326,8949,12032
0195S0,2,TIGER SK하이닉스단일종목레버리지,6815,5,-1630,-19.3,6828.0,,16237806,114451,11485
497570,4,TIGER 미국필라델피아AI반도체나스닥,21735,5,-950,-4.19,21946.0,1.825,447647,9808,11063
449450,2,PLUS K방산,56045,5,-945,-1.66,56101.0,-17.3939,657694,36917,10990
445290,2,KODEX 로봇액티브,31285,5,-1210,-3.72,31289.0,-17.9724,1588384,50353,10903
0139F0,6,TIGER 12월자동연장금융채(AA-이상)액티브,102000,2,15,0.01,101999.0,0.701,3,0,10790
465580,4,ACE 미국빅테크TOP7 Plus,24320,5,-375,-1.52,24401.0,-4.3201,407706,9965,10762
469150,2,ACE AI반도체TOP3+,54855,5,-3445,-5.91,54875.0,-15.5073,681434,37588,10642
226490,1,KODEX 코스피,66395,5,-4040,-5.74,66450.0,-8.7238,1825428,122037,10490
446720,4,SOL 미국배당다우존스,14015,5,-55,-0.39,13999.0,3.2308,266437,3749,10455
479520,6,RISE KOFR금리액티브(합성),106250,2,20,0.02,106257.0,0.6347,5254,558,10314
494890,1,KODEX 200액티브,29325,5,-2005,-6.4,29303.0,-8.3212,354785,10454,10205
449180,4,KODEX 미국S&P500(H),17135,5,-80,-0.46,17169.0,4.553,767586,13165,10093
455850,2,SOL AI반도체소부장,23760,5,-325,-1.35,23753.0,-20.01,2451776,58571,10074
469830,6,SOL 초단기채권액티브,54305,3,0,0.0,54309.0,0.8074,136684,7422,10074
356540,6,ACE 종합채권(AA-이상)액티브,100845,2,275,0.27,100813.0,-0.9651,2757,277,9964
479080,6,1Q 머니마켓액티브,53695,2,10,0.02,53695.0,0.8358,44085,2367,9852
0117V0,2,TIGER 코리아AI전력기기TOP3플러스,18515,5,-585,-3.06,18501.0,-28.1003,1848204,34128,9850
451540,6,TIGER 종합채권(AA-이상)액티브,52580,2,150,0.29,52580.0,-1.1408,1226,64,9811
494300,4,KODEX 미국나스닥100데일리커버드콜OTM,9270,5,-195,-2.06,9282.0,-6.0635,1564551,14571,9734
402970,4,ACE 미국배당다우존스,15545,5,-50,-0.32,15521.0,3.0112,279766,4365,9653
295040,1,SOL 200TR,38115,5,-2605,-6.4,38137.0,-7.7168,108881,4159,9376
315930,2,KODEX Top5PlusTR,76745,5,-4940,-6.05,76893.0,-6.5229,30596,2351,9363
438100,7,ACE 미국나스닥100미국채혼합50액티브,15350,5,-260,-1.67,15362.0,-4.1744,266292,4115,9348
495050,1,RISE 코리아밸류업,30905,5,-1750,-5.36,30922.0,-7.4422,153142,4735,9194
237350,1,KODEX 코스피100,81005,5,-5675,-6.55,81086.0,-7.9232,268157,21831,9194
494310,2,KODEX 반도체레버리지,67430,5,-8780,-11.52,67611.0,-44.3479,4045420,278690,9103
0117L0,6,KODEX 26-12 금융채(AA-이상)액티브,10147,5,-3,-0.03,10146.0,0.6445,865,8,8912
305540,2,TIGER 2차전지테마,17870,5,-30,-0.17,17883.0,-25.88,689950,12318,8792
0195R0,2,TIGER 삼성전자단일종목레버리지,10015,5,-1805,-15.27,10022.0,,3993726,40567,8578
487340,6,ACE 머니마켓액티브,105725,2,10,0.01,105724.0,0.8634,20580,2175,8118
153130,6,KODEX 단기채권,113205,2,10,0.01,113208.0,0.6335,6764,765,8025
114800,3,KODEX 인버스,1092,2,66,6.43,1092.0,-9.0426,1040811323,1131425,7965
498410,2,KODEX 금융고배당TOP10타겟위클리커버드콜,11490,5,-155,-1.33,11476.0,0.7873,1542291,17615,7894
0025N0,7,TIGER TDF2045 적격,12120,5,-140,-1.14,12131.0,-0.7288,387936,4727,7787
476550,6,TIGER 미국30년국채커버드콜액티브(H),6795,2,40,0.59,6780.0,-1.753,1549964,10521,7746
0048J0,6,KODEX 미국머니마켓액티브,13990,5,-125,-0.89,13981.0,-4.9497,696524,9780,7738
0177R0,2,TIGER 반도체TOP10커버드콜액티브,10460,5,-855,-7.56,10457.0,-9.1584,2912938,30642,7730
475720,3,RISE 200위클리커버드콜,11995,5,-685,-5.4,11977.0,-9.2531,912373,10975,7725
466940,2,TIGER 은행고배당플러스TOP10,25700,5,-415,-1.59,25726.0,6.2793,571488,14617,7684
371460,4,TIGER 차이나전기차SOLACTIVE,10555,5,-330,-3.03,10611.0,-22.0831,153505,1641,7667
481060,6,KODEX 미국30년국채타겟커버드콜(합성 H),7355,2,65,0.89,7381.0,-1.7793,569881,4188,7616
252670,3,KODEX 200선물인버스2X,89,2,10,12.66,88.0,-31.8966,8324170680,727046,7602
441800,1,TIME Korea플러스배당액티브,27390,5,-1465,-5.08,27383.0,-14.1205,235734,6474,7560
144600,5,KODEX 은선물(H),10215,5,-430,-4.04,10220.0,-14.0146,603517,6179,7559
490590,4,RISE 미국AI밸류체인데일리고정커버드콜,14060,5,-575,-3.93,14192.0,-4.22,686352,9748,7557
457480,4,ACE 테슬라밸류체인액티브,18180,5,-535,-2.86,18290.0,-21.4975,417833,7673,7481
0061Z0,6,RISE 단기특수은행채액티브,50945,3,0,0.0,50944.0,0.7216,3264,166,7275
272580,6,TIGER 단기채권액티브,57035,3,0,0.0,57032.0,0.6973,19238,1097,7229
069660,1,KIWOOM 200,101605,5,-6865,-6.33,101680.0,-7.5349,113197,11538,7112
458760,4,TIGER 미국배당다우존스타겟커버드콜2호,11245,5,-35,-0.31,11220.0,3.171,205585,2320,7096
385560,6,RISE KIS국고채30년Enhanced,50090,2,265,0.53,50047.0,-10.8836,32612,1627,6988
102970,2,KODEX 증권,17740,5,-895,-4.8,17735.0,-31.7585,1049255,18745,6910
0127P0,4,ACE 미국대형성장주액티브,10735,5,-215,-1.96,10750.0,-2.7867,33400,358,6892
456610,6,TIGER 미국달러SOFR금리액티브(합성),60640,5,-545,-0.89,60612.0,-4.9259,39288,2391,6883
462330,2,KODEX 2차전지산업레버리지,980,5,-5,-0.51,983.0,-53.4279,48932657,47159,6873
138540,2,TIGER 현대차그룹플러스,52050,5,-1510,-2.82,52062.0,-22.4499,163221,8417,6704
434730,2,HANARO 원자력iSelect,56540,5,-1530,-2.63,56619.0,-25.8602,204386,11482,6672
364980,2,TIGER 2차전지TOP10,9795,5,-15,-0.15,9801.0,-23.1192,1945023,18919,6582
367760,2,RISE 네트워크인프라,55570,5,-2970,-5.07,55559.0,-2.4659,333166,18632,6529
314250,4,KODEX 미국빅테크10(H),61010,5,-155,-0.25,61210.0,6.3308,23587,1441,6467
495850,1,KODEX 코리아밸류업,30695,5,-1645,-5.09,30721.0,-7.9317,259140,7970,6461
482730,4,TIGER 미국S&P500타겟데일리커버드콜,12030,5,-190,-1.55,12040.0,-0.9897,342070,4138,6442
491010,4,TIGER 글로벌AI전력인프라액티브,25450,5,-2060,-7.49,25739.0,-14.8561,185370,4776,6390
0148J0,2,TIGER 코리아휴머노이드로봇산업,9525,5,-310,-3.15,9520.0,-27.1212,7618844,74073,6382
434060,7,KODEX TDF2050액티브 적격,17005,5,-285,-1.65,16912.0,-3.6049,144581,2467,6317
329750,6,TIGER 미국달러단기채권액티브,13205,5,-135,-1.01,13204.0,-5.0872,193647,2569,6301
0167B0,2,SOL 200타겟위클리커버드콜,11200,5,-735,-6.16,11193.0,-8.3926,1362980,15333,6294
418660,4,TIGER 미국나스닥100레버리지(합성),40705,5,-1885,-4.43,41042.0,-8.4972,251804,10384,6289
290130,2,RISE ESG사회책임투자,44040,5,-3005,-6.39,44022.0,-7.0992,90157,3991,6254
0015B0,4,KoAct 미국나스닥성장기업액티브,18630,5,-890,-4.56,18878.0,-11.6743,657003,12387,6101
0101N0,2,RISE AI전력인프라,19290,5,-90,-0.46,19297.0,-25.3898,491347,9321,6076
251600,7,PLUS 고배당주채권혼합,15355,5,-115,-0.74,15359.0,-1.8923,142771,2189,5927
489250,4,KODEX 미국배당다우존스,13150,5,-50,-0.38,13133.0,3.0562,486162,6404,5918
423920,4,TIGER 미국필라델피아반도체레버리지(합성),86060,5,-10560,-10.93,88126.0,-9.486,151125,13179,5904
484790,6,KODEX 미국30년국채액티브(H),8205,2,60,0.74,8188.0,-1.5465,758464,6218,5902
371160,4,TIGER 차이나항셍테크,7155,5,-155,-2.12,7156.0,-7.4592,314334,2264,5842
494670,2,TIGER 조선TOP10,22330,5,-660,-2.87,22327.0,-20.1875,563180,12486,5783
396520,4,TIGER 차이나반도체FACTSET,13995,5,-1165,-7.68,14034.0,3.4812,1261252,18256,5783
466950,4,TIGER 글로벌AI액티브,30485,5,-2075,-6.37,30848.0,-9.392,161667,4999,5667
449190,4,KODEX 미국나스닥100(H),22100,5,-285,-1.27,22197.0,2.4787,214770,4754,5636
