itemcode,etfTabCode,itemname,nowVal,risefall,changeVal,changeRate,nav,threeMonthEarnRate,quant,amonut,marketSum
069500,1,KODEX 200,105150,2,1540,1.49,105162.0,-26.6689,1648181,173639,244263
360750,4,TIGER 미국S&P500,26060,2,220,0.85,26070.0,-9.1754,2447437,63747,204336
133690,4,TIGER 미국나스닥100,177060,2,1790,1.02,177108.0,-14.1049,221796,39255,114292
379800,4,KODEX 미국S&P500,23690,2,205,0.87,23697.0,-9.1879,1038467,24590,101121
102110,1,TIGER 200,105375,2,1515,1.46,105390.0,-26.4913,790879,83512,99474
396500,2,TIGER 반도체TOP10,34160,2,765,2.29,34197.0,-35.8837,866693,29640,91737
379810,4,KODEX 미국나스닥100,26470,2,265,1.01,26479.0,-14.118,845536,22373,91136
488770,7,KODEX 머니마켓액티브,105430,2,20,0.02,105431.0,0.8515,64198,6768,80697
278530,1,KODEX 200TR,38080,2,540,1.44,38087.0,-26.5434,91035,3472,74542
459580,6,KODEX CD금리액티브(합성),1073935,2,85,0.01,1074200.0,0.7393,99592,106955,65640
498400,2,KODEX 200타겟위클리커버드콜,19965,2,250,1.27,19951.0,-26.0153,493058,9860,56142
381180,4,TIGER 미국필라델피아반도체나스닥,40110,2,145,0.36,40070.0,-22.6952,78213,3134,54550
122630,3,KODEX 레버리지,101975,2,2875,2.9,102113.0,-55.8555,2134359,218291,54047
0167A0,2,SOL AI반도체TOP2플러스,16760,2,265,1.61,16778.0,-33.1239,1138841,19161,53691
091160,2,KODEX 반도체,122310,2,2980,2.5,122452.0,-27.1824,173848,21262,53572
229200,1,KODEX 코스닥150,13685,2,390,2.93,13718.0,-25.9538,3489358,47552,45927
458730,4,TIGER 미국배당다우존스,15045,2,5,0.03,15030.0,-1.6758,172605,2596,43224
148020,1,RISE 200,105855,2,1420,1.36,105948.0,-26.7999,109113,11576,43189
310970,1,TIGER MSCI Korea TR,46875,2,620,1.34,46865.0,-26.6958,165,7,42469
411060,5,ACE KRX금현물,27430,2,275,1.01,27373.0,-10.0083,119642,3280,40871
0162Z0,7,RISE 삼성전자SK하이닉스채권혼합50,13145,2,135,1.04,13166.0,-14.2563,527759,6948,40421
360200,4,ACE 미국S&P500,26340,2,220,0.84,26355.0,-9.2128,50763,1336,39457
395160,2,KODEX AI반도체TOP2플러스,37585,2,450,1.21,37644.0,-28.5866,475523,17981,38262
381170,4,TIGER 미국테크TOP10 INDXX,30785,2,385,1.27,30760.0,-13.8078,207000,6367,38019
357870,6,TIGER CD금리투자KIS(합성),58010,2,5,0.01,58012.0,0.7556,9060,525,35525
423160,6,KODEX KOFR금리액티브(합성),110707,2,27,0.02,110676.0,0.6839,27754,3072,35297
273130,6,KODEX 종합채권(AA-이상)액티브,109870,2,55,0.05,109839.0,-0.795,160,17,34178
367380,4,ACE 미국나스닥100,30435,2,305,1.01,30444.0,-14.1061,13886,422,34148
395270,2,HANARO Fn K-반도체,53510,2,880,1.67,53569.0,-28.0028,85861,4613,33738
233740,3,KODEX 코스닥150레버리지,6585,2,365,5.87,6612.0,-53.3384,15036239,98143,33195
102780,2,KODEX 삼성그룹,25655,5,-50,-0.19,25683.0,-23.7014,42807,1103,33146
0043B0,6,TIGER 머니마켓액티브,103550,3,0,0.0,103570.0,0.9013,8609,891,33035
487240,2,KODEX AI전력핵심설비,34320,2,345,1.02,34355.0,-26.5746,558538,19416,29961
455890,6,RISE 머니마켓액티브,55492,2,7,0.01,55498.0,0.8085,9247,513,27921
139260,2,TIGER 200 IT,130995,2,1690,1.31,131169.0,-31.3821,27406,3603,25885
481050,6,KODEX CD1년금리플러스액티브(합성),1022092,2,87,0.01,1022144.0,0.7937,80,81,25069
472150,2,TIGER 배당커버드콜액티브,19640,2,190,0.98,19673.0,-24.2893,267574,5269,24776
161510,2,PLUS 고배당주,25695,2,100,0.39,25738.0,-3.1918,80199,2060,24559
426030,4,TIME 미국나스닥100액티브,44670,2,1065,2.44,44708.0,-25.468,196922,8788,24202
449170,6,TIGER KOFR금리액티브(합성),111785,2,10,0.01,111751.0,0.6755,6033,674,24073
