itemcode,etfTabCode,itemname,nowVal,risefall,changeVal,changeRate,nav,threeMonthEarnRate,quant,amonut,marketSum
069500,1,KODEX 200,108855,2,2060,1.93,108912.0,-13.2469,12812634,1377139,252271
360750,4,TIGER 미국S&P500,26380,2,25,0.09,26370.0,-5.9807,25519816,671568,204194
133690,4,TIGER 미국나스닥100,179110,2,80,0.04,179147.0,-9.4461,3616693,645480,113395
102110,1,TIGER 200,109125,2,2185,2.04,109176.0,-13.2407,7080642,762638,102086
379800,4,KODEX 미국S&P500,23980,2,25,0.1,23970.0,-5.9782,12365982,295775,100704
396500,2,TIGER 반도체TOP10,35695,2,590,1.68,35709.0,-26.8646,5412376,190294,96394
379810,4,KODEX 미국나스닥100,26780,2,15,0.06,26784.0,-9.4422,24700852,658534,92672
488770,7,KODEX 머니마켓액티브,105335,2,5,0.0,105340.0,0.8618,287229,30255,81656
278530,1,KODEX 200TR,39425,2,770,1.99,39460.0,-13.2713,291833,11373,77529
459580,6,KODEX CD금리액티브(합성),1075700,2,80,0.01,1075884.0,0.7177,376623,405132,65726
498400,2,KODEX 200타겟위클리커버드콜,20625,2,395,1.95,20644.0,-12.9625,3472261,70722,58142
122630,3,KODEX 레버리지,109700,2,4150,3.93,109870.0,-38.419,12331643,1319310,58141
381180,4,TIGER 미국필라델피아반도체나스닥,41920,2,40,0.1,41786.0,-12.2332,783102,32591,56634
0167A0,2,SOL AI반도체TOP2플러스,17450,2,180,1.04,17483.0,-13.5636,9331307,160634,56224
091160,2,KODEX 반도체,126115,2,1200,0.96,126340.0,-19.6689,850313,106159,55428
229200,1,KODEX 코스닥150,14270,5,-30,-0.21,14304.0,-27.7048,15793743,223819,50395
148020,1,RISE 200,109690,2,2170,2.02,109738.0,-13.3986,575983,62279,44863
310970,1,TIGER MSCI Korea TR,48765,2,1000,2.09,48725.0,-12.4302,2915,140,44230
458730,4,TIGER 미국배당다우존스,15405,5,-25,-0.16,15394.0,-0.1664,1416271,21797,43681
411060,5,ACE KRX금현물,29135,2,10,0.03,29040.0,-3.9572,876451,25501,43091
0162Z0,7,RISE 삼성전자SK하이닉스채권혼합50,13475,2,160,1.2,13494.0,-2.2851,4143250,55420,41463
395160,2,KODEX AI반도체TOP2플러스,39325,2,465,1.2,39359.0,-9.4173,2464201,95447,40033
360200,4,ACE 미국S&P500,26665,2,30,0.11,26659.0,-6.0215,377385,10035,39704
381170,4,TIGER 미국테크TOP10 INDXX,30440,2,130,0.43,30404.0,-13.3505,240120,7280,37563
233740,3,KODEX 코스닥150레버리지,7180,5,-40,-0.55,7209.0,-55.2526,50654541,359012,36410
423160,6,KODEX KOFR금리액티브(합성),110870,2,5,0.0,110864.0,0.6794,28086,3113,35758
357870,6,TIGER CD금리투자KIS(합성),57955,3,0,0.0,57957.0,0.7387,77538,4493,35518
