itemcode,etfTabCode,itemname,nowVal,risefall,changeVal,changeRate,nav,threeMonthEarnRate,quant,amonut,marketSum
069500,1,KODEX 200,98455,2,365,0.37,98340.0,-14.991,10286337,1014503,225659
360750,4,TIGER 미국S&P500,27260,2,185,0.68,27218.0,2.2267,17366362,472186,205690
133690,4,TIGER 미국나스닥100,186740,2,2080,1.13,186256.0,0.4568,897287,167123,116003
379800,4,KODEX 미국S&P500,24775,2,150,0.61,24741.0,2.3028,14573385,360265,101317
102110,1,TIGER 200,98605,2,325,0.33,98468.0,-14.8811,4947862,488536,93280
379810,4,KODEX 미국나스닥100,27920,2,315,1.14,27847.0,0.4659,4548620,126699,93141
396500,2,TIGER 반도체TOP10,31010,2,740,2.44,31019.0,-34.4309,7118887,220879,81696
488770,7,KODEX 머니마켓액티브,105182,2,7,0.01,105187.0,0.8582,462172,48612,80464
278530,1,KODEX 200TR,35650,2,125,0.35,35629.0,-15.1034,711229,25411,71175
459580,6,KODEX CD금리액티브(합성),1074365,2,80,0.01,1074477.0,0.7172,418398,449511,66263
381180,4,TIGER 미국필라델피아반도체나스닥,45870,2,1110,2.48,45604.0,3.0693,1163164,53215,61328
498400,2,KODEX 200타겟위클리커버드콜,18955,2,60,0.32,18934.0,-15.1768,6542280,124103,52524
229200,1,KODEX 코스닥150,14670,2,1065,7.83,14654.0,-32.1447,35971880,520529,51902
122630,3,KODEX 레버리지,91300,2,610,0.67,91331.0,-40.7662,14378356,1314972,50763
0167A0,2,SOL AI반도체TOP2플러스,15535,2,325,2.14,15534.0,-11.0527,13714911,214062,50225
091160,2,KODEX 반도체,111205,2,3455,3.21,111348.0,-24.1732,1113699,123884,49208
148020,1,RISE 200,99140,2,295,0.3,99044.0,-15.0199,707334,70291,42085
458730,4,TIGER 미국배당다우존스,15195,2,45,0.3,15200.0,4.3914,1779198,26992,41991
411060,5,ACE KRX금현물,27610,2,280,1.02,27533.0,-11.3957,964471,26540,40559
360200,4,ACE 미국S&P500,27550,2,185,0.68,27515.0,2.2212,332177,9125,40554
233740,3,KODEX 코스닥150레버리지,7650,2,1000,15.04,7672.0,-60.616,132790377,986803,40377
310970,1,TIGER MSCI Korea TR,43530,2,125,0.29,43772.0,-15.1418,7557,331,39525
381170,4,TIGER 미국테크TOP10 INDXX,32165,2,195,0.61,32108.0,-2.6641,166675,5350,39450
0162Z0,7,RISE 삼성전자SK하이닉스채권혼합50,12365,5,-20,-0.16,12372.0,-3.341,4731751,58779,37849
423160,6,KODEX KOFR금리액티브(합성),110745,2,15,0.01,110730.0,0.684,48593,5381,36417
357870,6,TIGER CD금리투자KIS(합성),57880,2,5,0.01,57881.0,0.731,180584,10452,35513
367380,4,ACE 미국나스닥100,32100,2,360,1.13,32018.0,0.4167,377335,12072,35342
395160,2,KODEX AI반도체TOP2플러스,34600,2,130,0.38,34626.0,-8.3245,3584680,125038,34738
273130,6,KODEX 종합채권(AA-이상)액티브,109880,5,-245,-0.22,110027.0,-1.9456,4252,467,33956
102780,2,KODEX 삼성그룹,24350,2,35,0.14,24366.0,-6.8034,399747,9737,31338
