itemcode,etfTabCode,itemname,nowVal,risefall,changeVal,changeRate,nav,threeMonthEarnRate,quant,amonut,marketSum
069500,1,KODEX 200,107900,5,-2080,-1.89,108110.0,-10.4491,1537283,166894,253943
360750,4,TIGER 미국S&P500,26325,2,30,0.11,26317.0,-4.9945,1257920,33136,203111
133690,4,TIGER 미국나스닥100,179430,5,-285,-0.16,179455.0,-7.824,111416,20016,112897
102110,1,TIGER 200,108165,5,-2060,-1.87,108366.0,-10.3359,758998,82581,103838
379800,4,KODEX 미국S&P500,23925,2,15,0.06,23921.0,-4.9677,1356138,32473,99899
396500,2,TIGER 반도체TOP10,35535,5,-935,-2.56,35592.0,-24.641,1790571,64391,96033
379810,4,KODEX 미국나스닥100,26820,5,-55,-0.2,26829.0,-7.779,1123192,30155,92100
488770,7,KODEX 머니마켓액티브,105315,2,10,0.01,105320.0,0.862,73023,7690,82188
278530,1,KODEX 200TR,39095,5,-730,-1.83,39172.0,-10.4151,148487,5837,77408
459580,6,KODEX CD금리액티브(합성),1075535,2,85,0.01,1075705.0,0.7097,104134,111999,66117
122630,3,KODEX 레버리지,107975,5,-4265,-3.8,108224.0,-34.2319,1856914,202918,59494
498400,2,KODEX 200타겟위클리커버드콜,20430,5,-345,-1.66,20491.0,-10.7464,820917,16861,58123
381180,4,TIGER 미국필라델피아반도체나스닥,42240,5,-620,-1.45,42288.0,-8.1411,254626,10786,56982
0167A0,2,SOL AI반도체TOP2플러스,17255,5,-330,-1.88,17295.0,-9.936,2323529,40476,56139
091160,2,KODEX 반도체,124635,5,-2430,-1.91,124881.0,-17.9194,325193,40925,55400
229200,1,KODEX 코스닥150,13960,2,150,1.09,13992.0,-25.7328,4593517,64251,48672
148020,1,RISE 200,108770,5,-1995,-1.8,108932.0,-10.4681,100649,10992,45248
310970,1,TIGER MSCI Korea TR,48305,5,-1325,-2.67,48370.0,-9.2605,4666,226,43813
458730,4,TIGER 미국배당다우존스,15390,2,100,0.65,15373.0,0.4766,334772,5150,43400
411060,5,ACE KRX금현물,28870,2,420,1.48,28778.0,-5.7011,430422,12456,42554
0162Z0,7,RISE 삼성전자SK하이닉스채권혼합50,13505,5,-210,-1.53,13524.0,0.0641,1335475,18120,41582
395160,2,KODEX AI반도체TOP2플러스,39185,5,-1100,-2.73,39279.0,-3.2309,735646,29103,40086
360200,4,ACE 미국S&P500,26605,2,20,0.08,26605.0,-5.011,49865,1327,39508
381170,4,TIGER 미국테크TOP10 INDXX,30395,5,-30,-0.1,30342.0,-12.0919,31222,950,37477
423160,6,KODEX KOFR금리액티브(합성),110857,2,7,0.01,110826.0,0.693,17569,1947,35835
357870,6,TIGER CD금리투자KIS(합성),57947,2,2,0.0,57948.0,0.7301,33425,1936,35513
395270,2,HANARO Fn K-반도체,55685,5,-1430,-2.5,55724.0,-5.2191,188127,10579,35304
367380,4,ACE 미국나스닥100,30845,5,-45,-0.15,30847.0,-7.8062,60850,1879,34300
0043B0,6,TIGER 머니마켓액티브,103442,2,12,0.01,103443.0,0.8728,9155,947,33870
233740,3,KODEX 코스닥150레버리지,6890,2,145,2.15,6910.0,-52.7662,17559654,121318,33506
273130,6,KODEX 종합채권(AA-이상)액티브,109500,2,105,0.1,109479.0,-1.1655,312,34,33436
102780,2,KODEX 삼성그룹,25680,5,-780,-2.95,25704.0,-4.3384,98643,2554,33204
455890,6,RISE 머니마켓액티브,55430,3,0,0.0,55436.0,0.8001,12026,666,30265
487240,2,KODEX AI전력핵심설비,33065,5,-285,-0.85,33122.0,-38.5253,279205,9224,28998
139260,2,TIGER 200 IT,135360,5,-1340,-0.98,135499.0,-9.9474,34403,4686,27397
481050,6,KODEX CD1년금리플러스액티브(합성),1023667,2,97,0.01,1023668.0,0.7552,1024,1048,25670
0193T0,2,KODEX SK하이닉스단일종목레버리지,10735,2,105,0.99,10788.0,,6782589,74849,25233
426030,4,TIME 미국나스닥100액티브,45365,5,-455,-0.99,45570.0,-14.058,54953,2505,24406
449170,6,TIGER KOFR금리액티브(합성),111672,2,12,0.01,111638.0,0.658,5592,624,24368
472150,2,TIGER 배당커버드콜액티브,20615,5,-505,-2.39,20628.0,-8.3412,817722,16980,24122
278540,1,KODEX MSCI Korea TR,38400,5,-1105,-2.8,38532.0,-8.7223,2389,92,23539
161510,2,PLUS 고배당주,24705,2,5,0.02,24753.0,-7.1507,79571,1962,23487
486290,4,TIGER 미국나스닥100타겟데일리커버드콜,10570,5,-40,-0.38,10575.0,-7.99,212077,2246,23323
456600,4,TIME 글로벌AI인공지능액티브,57650,5,-545,-0.94,57878.0,-6.9848,11528,668,21273
292150,2,TIGER 코리아TOP10,38045,5,-570,-1.48,38119.0,-9.8825,83963,3223,20525
284430,6,KODEX 200미국채혼합50,20910,5,-220,-1.04,20923.0,-8.1151,209178,4381,20425
385540,6,RISE 종합채권(A-이상)액티브,102525,2,15,0.01,102512.0,-0.9757,710,72,19151
214980,6,KODEX 단기채권PLUS,114555,3,0,0.0,114573.0,0.6437,2156,246,18399
105190,1,ACE 200,108130,5,-2055,-1.87,108359.0,-10.6646,36377,3962,18058
294400,1,KIWOOM 200TR,141540,5,-2755,-1.91,141896.0,-10.4954,14718,2093,18046
442580,4,PLUS 글로벌HBM반도체,101040,5,-2560,-2.47,101815.0,0.3924,101908,10364,17288
441640,4,KODEX 미국배당커버드콜액티브,12750,2,10,0.08,12746.0,-1.6163,81376,1038,16811
305720,2,KODEX 2차전지산업,14505,2,800,5.84,14506.0,-27.5443,943392,13560,16768
477080,6,RISE CD금리액티브(합성),107380,3,0,0.0,107387.0,0.7175,3333,357,16658
0193W0,2,KODEX 삼성전자단일종목레버리지,12265,5,-1830,-12.98,12337.0,,3782527,47524,15846
446770,4,ACE 글로벌반도체TOP4 Plus,77200,5,-470,-0.61,77297.0,-7.9855,9153,709,15556
0177N0,7,KODEX 삼성전자SK하이닉스채권혼합50,14260,5,-235,-1.62,14279.0,0.1827,885726,12697,15486
0195S0,2,TIGER SK하이닉스단일종목레버리지,9095,2,90,1.0,9133.0,,3708428,34605,15448
329200,2,TIGER 리츠부동산인프라,4100,5,-5,-0.12,4096.0,0.3904,241376,988,15432
368590,4,RISE 미국나스닥100,29920,5,-60,-0.2,29928.0,-7.7133,21615,647,15379
152100,1,PLUS 200,109415,5,-2230,-2.0,109784.0,-10.6077,30733,3387,15045
453850,6,ACE 미국30년국채액티브(H),7145,5,-5,-0.07,7128.0,-0.9264,96739,690,15012
379780,4,RISE 미국S&P500,23030,2,30,0.13,23007.0,-4.843,11995,276,14762
487230,4,KODEX 미국AI전력핵심인프라,19365,5,-200,-1.02,19393.0,-23.8436,101558,1969,14601
475630,7,TIGER CD1년금리액티브(합성),1075185,2,80,0.01,1075182.0,0.7643,7766,8349,14491
466920,2,SOL 조선TOP3플러스,27195,2,50,0.18,27239.0,-26.8625,99309,2687,14454
436140,6,SOL 종합채권(AA-이상)액티브,105840,3,0,0.0,105838.0,-0.9268,0,0,13591
091230,2,TIGER 반도체,131530,5,-2470,-1.84,131783.0,-16.8504,15559,2067,13390
232080,1,TIGER 코스닥150,14245,2,165,1.17,14269.0,-25.6011,382896,5463,13296
226490,1,KODEX 코스피,70000,5,-890,-1.26,70030.0,-11.2543,27251,1914,12915
157450,6,TIGER 단기통안채,112472,2,2,0.0,112478.0,0.6217,307,34,12908
0072R0,5,TIGER KRX금현물,13777,2,207,1.53,13753.0,-5.9273,427968,5906,12751
448330,1,KODEX 삼성전자채권혼합,17440,5,-305,-1.72,17431.0,1.3513,203144,3552,12749
390390,4,KODEX 미국반도체,52660,5,-670,-1.26,52734.0,-8.1742,59411,3140,12559
438080,7,ACE 미국S&P500미국채혼합50액티브,14075,5,-10,-0.07,14069.0,-6.1,66315,933,12287
0183J0,4,TIGER 미국우주테크,8110,2,15,0.19,8149.0,-42.3228,322519,2624,11869
469150,2,ACE AI반도체TOP3+,56595,5,-1180,-2.04,56645.0,-21.1909,34052,1944,11008
494890,1,KODEX 200액티브,31080,5,-605,-1.91,31186.0,-10.6738,43552,1364,10816
0139F0,6,TIGER 12월자동연장금융채(AA-이상)액티브,102050,3,0,0.0,102059.0,0.7055,0,0,10795
445290,2,KODEX 로봇액티브,30910,5,-360,-1.15,30951.0,-23.2437,32506,1012,10772
497570,4,TIGER 미국필라델피아AI반도체나스닥,21305,5,-210,-0.98,21314.0,-6.1619,72645,1552,10759
446720,4,SOL 미국배당다우존스,14110,2,85,0.61,14090.0,0.557,43618,615,10597
465580,4,ACE 미국빅테크TOP7 Plus,23955,5,-25,-0.1,23938.0,-7.7515,137948,3309,10396
479520,6,RISE KOFR금리액티브(합성),106280,5,-5,0.0,106267.0,0.6725,249,26,10317
449450,2,PLUS K방산,52440,2,120,0.23,52391.0,-24.2069,27812,1458,10221
356540,6,ACE 종합채권(AA-이상)액티브,100840,2,10,0.01,100844.0,-0.9286,8,0,10178
449180,4,KODEX 미국S&P500(H),17125,2,50,0.29,17128.0,2.6763,151540,2597,10155
469830,6,SOL 초단기채권액티브,54332,2,7,0.01,54334.0,0.8259,23506,1277,10086
451540,6,TIGER 종합채권(AA-이상)액티브,52600,2,10,0.02,52603.0,-1.0909,40,2,9972
295040,1,SOL 200TR,40455,5,-780,-1.89,40555.0,-10.4755,38392,1566,9952
494310,2,KODEX 반도체레버리지,74625,5,-2375,-3.08,75005.0,-49.133,417953,31743,9925
315930,2,KODEX Top5PlusTR,81055,5,-905,-1.1,81104.0,-10.1218,6188,502,9808
237350,1,KODEX 코스피100,86350,5,-1445,-1.65,86508.0,-10.4651,24768,2153,9801
402970,4,ACE 미국배당다우존스,15635,2,85,0.55,15621.0,0.6353,42311,661,9772
494300,4,KODEX 미국나스닥100데일리커버드콜OTM,9135,5,-30,-0.33,9132.0,-11.0529,190055,1739,9756
479080,6,1Q 머니마켓액티브,53725,2,5,0.01,53721.0,0.8352,6031,324,9665
455850,2,SOL AI반도체소부장,22735,5,-15,-0.07,22730.0,-27.2815,158127,3629,9617
495050,1,RISE 코리아밸류업,32050,5,-375,-1.16,32156.0,-11.5646,16928,546,9535
0195R0,2,TIGER 삼성전자단일종목레버리지,11165,5,-1680,-13.08,11209.0,,1724540,19734,9515
438100,7,ACE 미국나스닥100미국채혼합50액티브,15190,5,-30,-0.2,15179.0,-7.3364,53097,807,9296
0117L0,6,KODEX 26-12 금융채(AA-이상)액티브,10152,2,2,0.02,10149.0,0.6445,232,2,9221
0117V0,2,TIGER 코리아AI전력기기TOP3플러스,17260,5,-140,-0.8,17295.0,-36.4835,168195,2901,9174
305540,2,TIGER 2차전지테마,18385,2,1025,5.9,18361.0,-26.4407,132470,2397,9082
487340,6,ACE 머니마켓액티브,105770,2,5,0.0,105773.0,0.8486,539,57,8656
144600,5,KODEX 은선물(H),11255,2,35,0.31,11264.0,-9.2234,153793,1737,8306
475720,3,RISE 200위클리커버드콜,12810,5,-90,-0.7,12808.0,-10.4082,102670,1319,8288
153130,6,KODEX 단기채권,113230,2,15,0.01,113233.0,0.6157,7272,823,8130
0177R0,2,TIGER 반도체TOP10커버드콜액티브,11100,5,-220,-1.94,11113.0,-14.4623,327892,3680,8081
457480,4,ACE 테슬라밸류체인액티브,19215,2,675,3.64,19127.0,-23.8761,77122,1481,7917
498410,2,KODEX 금융고배당TOP10타겟위클리커버드콜,11370,5,-130,-1.13,11370.0,-0.7568,299558,3406,7857
441800,1,TIME Korea플러스배당액티브,28610,5,-455,-1.57,28663.0,-15.2258,28042,806,7845
476550,6,TIGER 미국30년국채커버드콜액티브(H),6825,5,-5,-0.07,6812.0,-1.0813,133792,912,7787
0025N0,7,TIGER TDF2045 적격,12030,2,30,0.25,12040.0,-4.0,36460,438,7777
0048J0,6,KODEX 미국머니마켓액티브,13840,5,-40,-0.29,13841.0,-6.966,44527,616,7718
371460,4,TIGER 차이나전기차SOLACTIVE,10570,2,10,0.09,10613.0,-24.6791,5373,56,7682
481060,6,KODEX 미국30년국채타겟커버드콜(합성 H),7410,5,-5,-0.07,7420.0,-0.421,19778,146,7658
114800,3,KODEX 인버스,1023,2,20,1.99,1024.0,-6.0862,158549853,161245,7634
490590,4,RISE 미국AI밸류체인데일리고정커버드콜,14135,5,-130,-0.91,14141.0,-7.1573,73826,1044,7619
466940,2,TIGER 은행고배당플러스TOP10,25265,5,-280,-1.1,25307.0,2.9035,91037,2303,7580
069660,1,KIWOOM 200,107710,5,-2190,-1.99,108105.0,-10.5457,11774,1280,7432
272580,6,TIGER 단기채권액티브,57050,5,-10,-0.02,57056.0,0.6615,2344,133,7379
0061Z0,6,RISE 단기특수은행채액티브,50960,5,-5,-0.01,50960.0,0.7213,41,2,7279
458760,4,TIGER 미국배당다우존스타겟커버드콜2호,11300,2,40,0.36,11297.0,1.0483,23116,261,7164
462330,2,KODEX 2차전지산업레버리지,1019,2,104,11.37,1023.0,-54.8149,28481460,28375,7138
