itemcode,etfTabCode,itemname,nowVal,risefall,changeVal,changeRate,nav,threeMonthEarnRate,quant,amonut,marketSum
069500,1,KODEX 200,105765,2,1490,1.43,105868.0,-23.3364,19177163,2021747,246168
360750,4,TIGER 미국S&P500,25780,2,155,0.6,25726.0,-8.9736,36328152,936580,204693
133690,4,TIGER 미국나스닥100,175680,2,750,0.43,175189.0,-13.4028,2510719,440633,114824
379800,4,KODEX 미국S&P500,23430,2,135,0.58,23385.0,-8.995,29900180,700880,101557
102110,1,TIGER 200,106020,2,1370,1.31,106107.0,-23.1147,10039476,1060533,97909
396500,2,TIGER 반도체TOP10,35370,2,740,2.14,35421.0,-35.632,5331663,186661,94243
379810,4,KODEX 미국나스닥100,26265,2,115,0.44,26193.0,-13.3927,15957634,418801,91061
488770,7,KODEX 머니마켓액티브,105532,2,7,0.01,105535.0,0.8553,288098,30403,86333
278530,1,KODEX 200TR,38320,2,500,1.32,38371.0,-23.3948,380254,14519,74322
459580,6,KODEX CD금리액티브(합성),1074852,2,92,0.01,1075061.0,0.7294,743408,799053,68357
498400,2,KODEX 200타겟위클리커버드콜,19730,2,245,1.26,19754.0,-22.6821,4412637,86750,57730
091160,2,KODEX 반도체,125895,2,3200,2.61,126135.0,-29.0986,1810927,223940,54827
381180,4,TIGER 미국필라델피아반도체나스닥,40040,2,570,1.44,39749.0,-28.1311,2106156,84019,54354
122630,3,KODEX 레버리지,102430,2,2740,2.75,102537.0,-50.8989,12672345,1288772,53725
0167A0,2,SOL AI반도체TOP2플러스,17035,2,450,2.71,17050.0,-33.125,7508452,126205,53217
229200,1,KODEX 코스닥150,13650,5,-35,-0.26,13684.0,-25.1982,25619865,346494,45714
310970,1,TIGER MSCI Korea TR,47260,2,740,1.59,47306.0,-23.7378,2371,111,43857
458730,4,TIGER 미국배당다우존스,14820,2,115,0.78,14812.0,-6.1207,2154556,31955,43148
148020,1,RISE 200,106585,2,1405,1.34,106658.0,-23.3397,822908,87235,43060
0162Z0,7,RISE 삼성전자SK하이닉스채권혼합50,13365,2,160,1.21,13377.0,-11.1599,3480686,46331,40442
411060,5,ACE KRX금현물,26635,2,380,1.45,26582.0,-9.5591,492996,13064,39819
360200,4,ACE 미국S&P500,26060,2,145,0.56,26008.0,-8.9466,1102444,28729,39325
395160,2,KODEX AI반도체TOP2플러스,38545,2,840,2.23,38586.0,-28.7981,2328106,88908,38506
381170,4,TIGER 미국테크TOP10 INDXX,30540,2,130,0.43,30473.0,-7.6947,1067621,32592,37686
423160,6,KODEX KOFR금리액티브(합성),110800,2,5,0.0,110794.0,0.7021,66562,7375,36266
273130,6,KODEX 종합채권(AA-이상)액티브,109315,2,210,0.19,109198.0,-1.4631,5259,574,34738
357870,6,TIGER CD금리투자KIS(합성),58065,2,15,0.03,58061.0,0.755,86806,5040,34730
395270,2,HANARO Fn K-반도체,54940,2,1245,2.32,55008.0,-29.4416,550203,29900,34365
367380,4,ACE 미국나스닥100,30200,2,135,0.45,30115.0,-13.4289,518163,15634,34277
102780,2,KODEX 삼성그룹,25365,2,130,0.52,25423.0,-23.3911,297486,7524,32467
233740,3,KODEX 코스닥150레버리지,6515,5,-40,-0.61,6535.0,-51.155,50848595,325011,31695
0043B0,6,TIGER 머니마켓액티브,103667,2,7,0.01,103669.0,0.92,84549,8765,31618
455890,6,RISE 머니마켓액티브,55540,2,5,0.01,55545.0,0.826,154199,8564,31275
487240,2,KODEX AI전력핵심설비,35260,2,690,2.0,35291.0,-27.3605,2091381,73452,30853
139260,2,TIGER 200 IT,132810,2,1910,1.46,132903.0,-28.3445,89054,11715,25871
481050,6,KODEX CD1년금리플러스액티브(합성),1023032,2,92,0.01,1023009.0,0.7917,32214,32955,25133
486290,4,TIGER 미국나스닥100타겟데일리커버드콜,10240,2,55,0.54,10208.0,-13.5532,1547259,15816,24402
426030,4,TIME 미국나스닥100액티브,44320,2,200,0.45,44021.0,-25.0489,496668,21927,24270
472150,2,TIGER 배당커버드콜액티브,19890,2,255,1.3,19888.0,-22.2911,2149907,42527,24077
161510,2,PLUS 고배당주,25040,5,-250,-0.99,25023.0,-6.1519,348014,8736,23918
449170,6,TIGER KOFR금리액티브(합성),111890,2,15,0.01,111887.0,0.6839,41865,4684,23853
278540,1,KODEX MSCI Korea TR,37580,2,320,0.86,37659.0,-22.9848,16807,628,22999
385540,6,RISE 종합채권(A-이상)액티브,102335,2,140,0.14,102302.0,-1.5036,597,61,21948
0193T0,2,KODEX SK하이닉스단일종목레버리지,10420,2,580,5.89,10435.0,-63.2973,14599295,149435,21410
