itemcode,etfTabCode,itemname,nowVal,risefall,changeVal,changeRate,nav,threeMonthEarnRate,quant,amonut,marketSum
069500,1,KODEX 200,108495,5,-3370,-3.01,108745.0,-9.455,15756070,1708490,250515
360750,4,TIGER 미국S&P500,25340,5,-85,-0.33,25304.0,-8.5663,18950709,481195,200465
133690,4,TIGER 미국나스닥100,172910,5,-1630,-0.93,173172.0,-10.5584,1917457,332833,112685
102110,1,TIGER 200,108785,5,-3365,-3.0,108989.0,-9.3005,8184743,889844,100463
379800,4,KODEX 미국S&P500,23030,5,-85,-0.37,23001.0,-8.5252,8419812,194337,99467
396500,2,TIGER 반도체TOP10,36350,5,-1870,-4.89,36394.0,-18.3857,5895169,215355,96818
379810,4,KODEX 미국나스닥100,25850,5,-245,-0.94,25891.0,-10.5779,9103820,236151,89519
488770,7,KODEX 머니마켓액티브,105502,2,22,0.02,105499.0,0.8557,304051,32077,81674
278530,1,KODEX 200TR,39305,5,-1235,-3.05,39382.0,-9.509,298138,11704,76409
459580,6,KODEX CD금리액티브(합성),1074577,2,87,0.01,1074844.0,0.744,663298,712765,68804
498400,2,KODEX 200타겟위클리커버드콜,20570,5,-600,-2.83,20570.0,-9.1989,7350449,150997,59550
091160,2,KODEX 반도체,128390,5,-8530,-6.23,128524.0,-9.6208,1836009,238008,55400
381180,4,TIGER 미국필라델피아반도체나스닥,40340,5,-1050,-2.54,40593.0,-17.0042,538003,21831,54963
0167A0,2,SOL AI반도체TOP2플러스,17395,5,-780,-4.29,17407.0,-17.8717,5967670,104214,54499
122630,3,KODEX 레버리지,108000,5,-7000,-6.09,108371.0,-31.179,9832473,1060633,53406
229200,1,KODEX 코스닥150,13810,5,-555,-3.86,13852.0,-13.2549,20633635,286500,47417
310970,1,TIGER MSCI Korea TR,48495,5,-1600,-3.19,48518.0,-8.5357,4688,227,45003
148020,1,RISE 200,109320,5,-3370,-2.99,109551.0,-9.5473,652349,71271,44111
458730,4,TIGER 미국배당다우존스,14460,2,15,0.1,14427.0,-6.6563,959521,13895,42042
0162Z0,7,RISE 삼성전자SK하이닉스채권혼합50,13515,5,-300,-2.17,13544.0,-1.5011,3602044,48738,40950
395160,2,KODEX AI반도체TOP2플러스,39700,5,-1715,-4.14,39729.0,-13.6918,1894055,75366,39700
411060,5,ACE KRX금현물,26240,5,-560,-2.09,26179.0,-5.3339,567438,14899,39150
360200,4,ACE 미국S&P500,25615,5,-85,-0.33,25581.0,-8.5155,439640,11286,38602
0043B0,6,TIGER 머니마켓액티브,103632,2,7,0.01,103638.0,0.9252,45848,4751,38586
423160,6,KODEX KOFR금리액티브(합성),110775,2,35,0.03,110763.0,0.6839,52138,5775,37015
381170,4,TIGER 미국테크TOP10 INDXX,29890,5,-80,-0.27,29987.0,-9.0026,1374703,41249,36944
357870,6,TIGER CD금리투자KIS(합성),58047,2,2,0.0,58048.0,0.7725,87005,5050,35474
395270,2,HANARO Fn K-반도체,56520,5,-2570,-4.35,56597.0,-13.007,722545,40978,35297
273130,6,KODEX 종합채권(AA-이상)액티브,109245,5,-495,-0.45,109445.0,-0.1002,5711,623,34218
367380,4,ACE 미국나스닥100,29725,5,-275,-0.92,29768.0,-10.5957,221417,6601,33530
102780,2,KODEX 삼성그룹,26050,5,-375,-1.42,26066.0,-10.6056,113245,2944,33344
233740,3,KODEX 코스닥150레버리지,6680,5,-550,-7.61,6693.0,-34.5702,45276315,305376,32699
455890,6,RISE 머니마켓액티브,55522,5,-3,-0.01,55530.0,0.8353,109834,6098,31571
487240,2,KODEX AI전력핵심설비,35870,5,-910,-2.47,35890.0,-15.6749,1393975,49907,31350
139260,2,TIGER 200 IT,136485,5,-5545,-3.9,136574.0,-12.5653,104196,14260,26724
481050,6,KODEX CD1년금리플러스액티브(합성),1022750,2,100,0.01,1022772.0,0.8021,31638,32357,25143
472150,2,TIGER 배당커버드콜액티브,20350,5,-595,-2.84,20374.0,-7.7475,2188009,44500,24697
161510,2,PLUS 고배당주,25505,2,195,0.77,25564.0,-0.1652,313577,7948,24416
0193T0,2,KODEX SK하이닉스단일종목레버리지,10985,5,-925,-7.77,11048.0,-45.2162,11728114,128596,24307
426030,4,TIME 미국나스닥100액티브,44300,5,-1285,-2.82,44588.0,-14.6988,734771,32690,24126
449170,6,TIGER KOFR금리액티브(합성),111850,2,10,0.01,111851.0,0.6887,46556,5207,24046
486290,4,TIGER 미국나스닥100타겟데일리커버드콜,10055,5,-100,-0.98,10085.0,-10.8194,880203,8883,23921
278540,1,KODEX MSCI Korea TR,38535,5,-1395,-3.49,38628.0,-8.5014,11711,451,23583
385540,6,RISE 종합채권(A-이상)액티브,102215,5,-545,-0.53,102314.0,-0.0584,1127,115,21461
456600,4,TIME 글로벌AI인공지능액티브,55790,5,-1580,-2.75,56083.0,-11.5207,111249,6246,20174
284430,6,KODEX 200미국채혼합50,20500,5,-360,-1.73,20521.0,-10.5477,334245,6860,19877
292150,2,TIGER 코리아TOP10,38380,5,-1130,-2.86,38418.0,-8.1892,287064,10998,19516
214980,6,KODEX 단기채권PLUS,114710,2,30,0.03,114722.0,0.7227,11119,1275,18399
294400,1,KIWOOM 200TR,142400,5,-4515,-3.07,142769.0,-9.0366,78300,11146,18227
305720,2,KODEX 2차전지산업,14855,5,-510,-3.32,14850.0,-5.9382,2241542,33518,17440
442580,4,PLUS 글로벌HBM반도체,99675,5,-4380,-4.21,99820.0,-8.8117,249100,24929,16975
105190,1,ACE 200,108760,5,-3325,-2.97,109000.0,-9.6325,156040,16960,16912
477080,6,RISE CD금리액티브(합성),107555,5,-5,0.0,107571.0,0.7446,8835,950,16686
441640,4,KODEX 미국배당커버드콜액티브,12245,5,-25,-0.2,12218.0,-6.69,424337,5202,16653
329200,2,TIGER 리츠부동산인프라,4042,2,7,0.17,4042.0,5.1311,1027409,4145,15487
446770,4,ACE 글로벌반도체TOP4 Plus,75650,5,-2065,-2.66,75809.0,-11.7769,33323,2529,15281
0177N0,7,KODEX 삼성전자SK하이닉스채권혼합50,14270,5,-330,-2.26,14265.0,-1.3324,2134781,30467,15255
368590,4,RISE 미국나스닥100,28840,5,-280,-0.96,28888.0,-10.5393,249233,7210,15228
466920,2,SOL 조선TOP3플러스,28680,2,860,3.09,28696.0,-19.8156,1306150,36962,15186
152100,1,PLUS 200,110160,5,-3320,-2.93,110365.0,-9.5974,93067,10255,14982
0195S0,2,TIGER SK하이닉스단일종목레버리지,9340,5,-810,-7.98,9374.0,-45.1352,4834442,45046,14858
453850,6,ACE 미국30년국채액티브(H),7040,5,-85,-1.19,7044.0,-2.7981,979134,6890,14678
379780,4,RISE 미국S&P500,22145,5,-95,-0.43,22124.0,-8.4782,191547,4253,14461
226490,1,KODEX 코스피,70425,5,-2080,-2.87,70534.0,-8.6565,91431,6433,14367
487230,4,KODEX 미국AI전력핵심인프라,18675,5,-555,-2.89,18733.0,-20.9019,318967,5982,14053
0193W0,2,KODEX 삼성전자단일종목레버리지,11475,5,-940,-7.57,11488.0,-40.8105,5069392,58489,14022
232080,1,TIGER 코스닥150,14070,5,-530,-3.63,14130.0,-13.5584,10527757,148670,13437
091230,2,TIGER 반도체,135850,5,-9150,-6.31,135919.0,-8.3209,177520,24326,13422
475630,7,TIGER CD1년금리액티브(합성),1077070,2,140,0.01,1077079.0,0.7983,110524,119042,13092
157450,6,TIGER 단기통안채,112630,2,15,0.01,112629.0,0.6479,2727,307,12936
448330,1,KODEX 삼성전자채권혼합,17290,5,-210,-1.2,17277.0,-1.0869,355581,6157,12777
436140,6,SOL 종합채권(AA-이상)액티브,105575,5,-450,-0.42,105673.0,-0.1225,214,22,12555
390390,4,KODEX 미국반도체,50890,5,-1215,-2.33,51169.0,-14.2579,270156,13814,12315
438080,7,ACE 미국S&P500미국채혼합50액티브,13615,2,15,0.11,13600.0,-10.1124,224079,3056,12104
0072R0,5,TIGER KRX금현물,12495,5,-270,-2.12,12511.0,-5.689,570613,7151,11633
469150,2,ACE AI반도체TOP3+,58825,5,-3235,-5.21,58948.0,-13.8833,395667,23388,11353
356540,6,ACE 종합채권(AA-이상)액티브,100605,5,-410,-0.41,100638.0,-0.0297,97,9,10839
0139F0,6,TIGER 12월자동연장금융채(AA-이상)액티브,102210,2,10,0.01,102215.0,0.8337,50,5,10812
445290,2,KODEX 로봇액티브,30825,5,-640,-2.03,30847.0,-16.661,124390,3832,10727
0183J0,4,TIGER 미국우주테크,7235,5,-75,-1.03,7285.0,-42.5089,978535,7121,10708
494890,1,KODEX 200액티브,31300,5,-995,-3.08,31359.0,-9.2478,321337,10039,10642
465580,4,ACE 미국빅테크TOP7 Plus,23490,2,15,0.06,23564.0,-5.8741,582973,13741,10571
497570,4,TIGER 미국필라델피아AI반도체나스닥,20580,5,-475,-2.26,20692.0,-12.9835,222482,4604,10393
479520,6,RISE KOFR금리액티브(합성),106465,2,10,0.01,106469.0,0.6904,1328,141,10335
455850,2,SOL AI반도체소부장,24855,5,-1370,-5.22,24843.0,-6.8384,1684208,42336,10302
451540,6,TIGER 종합채권(AA-이상)액티브,52480,5,-235,-0.45,52501.0,-0.1137,576,30,10265
449180,4,KODEX 미국S&P500(H),16975,5,-125,-0.73,16949.0,3.8232,326554,5542,10253
446720,4,SOL 미국배당다우존스,13265,2,20,0.15,13226.0,-6.7906,90250,1198,10108
469830,6,SOL 초단기채권액티브,54440,2,10,0.02,54435.0,0.8897,75738,4122,10107
295040,1,SOL 200TR,40655,5,-1350,-3.21,40777.0,-9.345,47332,1921,10062
449450,2,PLUS K방산,51810,5,-50,-0.1,51901.0,-15.5306,91432,4702,10056
0117V0,2,TIGER 코리아AI전력기기TOP3플러스,18710,5,-490,-2.55,18721.0,-15.4908,718440,13386,10010
494300,4,KODEX 미국나스닥100데일리커버드콜OTM,8620,5,-70,-0.81,8636.0,-14.7806,688334,5950,9861
494310,2,KODEX 반도체레버리지,79140,5,-10200,-11.42,79006.0,-35.4247,2920637,235709,9695
479080,6,1Q 머니마켓액티브,53815,3,0,0.0,53818.0,0.8716,9368,504,9653
315930,2,KODEX Top5PlusTR,80415,5,-1755,-2.14,80595.0,-11.1628,7727,619,9650
237350,1,KODEX 코스피100,86820,5,-2725,-3.04,86911.0,-9.3082,92538,8026,9637
495050,1,RISE 코리아밸류업,32455,5,-585,-1.77,32474.0,-8.8096,84245,2723,9590
0195R0,2,TIGER 삼성전자단일종목레버리지,10405,5,-885,-7.84,10444.0,-41.5178,2672048,27878,9510
305540,2,TIGER 2차전지테마,18925,5,-690,-3.52,18955.0,-3.7065,179792,3431,9453
402970,4,ACE 미국배당다우존스,14725,3,0,0.0,14692.0,-6.5942,138708,2045,9395
438100,7,ACE 미국나스닥100미국채혼합50액티브,14690,5,-40,-0.27,14689.0,-11.0508,141806,2088,9093
