itemcode,etfTabCode,itemname,nowVal,risefall,changeVal,changeRate,nav,threeMonthEarnRate,quant,amonut,marketSum
069500,1,KODEX 200,105105,2,4775,4.76,105282.0,-4.5236,16398891,1717957,244317
360750,4,TIGER 미국S&P500,27430,2,305,1.12,27302.0,3.232,25812881,707200,205341
133690,4,TIGER 미국나스닥100,188225,2,4655,2.54,187413.0,2.0989,1777633,333851,115043
379800,4,KODEX 미국S&P500,24935,2,340,1.38,24819.0,3.1586,18287413,455260,101835
102110,1,TIGER 200,105300,2,4865,4.84,105528.0,-4.4632,2548607,267621,99351
379810,4,KODEX 미국나스닥100,28135,2,690,2.51,28020.0,2.1634,8833650,247742,91284
396500,2,TIGER 반도체TOP10,34225,2,1830,5.65,34278.0,-23.1891,11069446,377252,88352
488770,7,KODEX 머니마켓액티브,105135,2,10,0.01,105140.0,0.8296,686488,72171,79474
278530,1,KODEX 200TR,38040,2,1675,4.61,38135.0,-4.4786,1451372,55050,76175
459580,6,KODEX CD금리액티브(합성),1073950,2,80,0.01,1074039.0,0.7097,389328,418117,66462
381180,4,TIGER 미국필라델피아반도체나스닥,45885,2,2585,5.97,45236.0,5.8425,1621451,73601,62082
122630,3,KODEX 레버리지,104365,2,9030,9.47,104714.0,-25.3972,18933163,1963157,58497
498400,2,KODEX 200타겟위클리커버드콜,20145,2,850,4.41,20165.0,-5.9878,6539513,131265,55076
0167A0,2,SOL AI반도체TOP2플러스,16920,2,995,6.25,16944.0,1.9852,16608379,279129,53856
091160,2,KODEX 반도체,120135,2,5650,4.94,120387.0,-12.2452,1184954,141498,52379
229200,1,KODEX 코스닥150,13570,2,240,1.8,13564.0,-33.9282,24900184,336863,46884
148020,1,RISE 200,105860,2,4675,4.62,106086.0,-4.4922,987241,104239,44726
310970,1,TIGER MSCI Korea TR,47035,2,2095,4.66,47035.0,-2.7904,17669,827,42755
458730,4,TIGER 미국배당다우존스,15320,2,70,0.46,15269.0,3.4878,2366561,36238,41900
360200,4,ACE 미국S&P500,27725,2,385,1.41,27600.0,3.2241,845499,23412,40867
0162Z0,7,RISE 삼성전자SK하이닉스채권혼합50,13130,2,345,2.7,13150.0,7.6626,7272116,95281,39587
381170,4,TIGER 미국테크TOP10 INDXX,32410,2,535,1.68,32223.0,-1.6963,625134,20219,39459
411060,5,ACE KRX금현물,26590,2,585,2.25,26636.0,-14.0473,758114,19888,39061
395160,2,KODEX AI반도체TOP2플러스,38770,2,2470,6.8,38806.0,3.9221,5826396,224701,38305
233740,3,KODEX 코스닥150레버리지,6575,2,230,3.62,6604.0,-62.8622,92028617,602615,36195
423160,6,KODEX KOFR금리액티브(합성),110695,2,5,0.0,110688.0,0.6567,65849,7288,35908
367380,4,ACE 미국나스닥100,32360,2,810,2.57,32218.0,2.0563,585253,18882,35564
357870,6,TIGER CD금리투자KIS(합성),57855,3,0,0.0,57856.0,0.7224,239717,13869,35517
273130,6,KODEX 종합채권(AA-이상)액티브,110270,2,385,0.35,110116.0,-1.9803,39775,4387,34483
395270,2,HANARO Fn K-반도체,54660,2,3425,6.68,54729.0,4.1891,1138714,61985,34436
0193T0,2,KODEX SK하이닉스단일종목레버리지,10675,2,1325,14.17,10721.0,,32571021,340962,32529
102780,2,KODEX 삼성그룹,24985,2,1365,5.78,25042.0,-0.6311,522180,12969,32081
487240,2,KODEX AI전력핵심설비,36350,2,3240,9.79,36372.0,-43.2506,4252989,152218,31116
0043B0,6,TIGER 머니마켓액티브,103245,2,20,0.02,103241.0,0.8352,135163,13954,30113
455890,6,RISE 머니마켓액티브,55335,3,0,0.0,55339.0,0.7831,140224,7759,29622
481050,6,KODEX CD1년금리플러스액티브(합성),1021970,2,95,0.01,1021980.0,0.7414,48156,49213,26341
