itemcode,etfTabCode,itemname,nowVal,risefall,changeVal,changeRate,nav,threeMonthEarnRate,quant,amonut,marketSum
069500,1,KODEX 200,112055,2,355,0.32,112164.0,-23.8141,24175310,2741264,258511
360750,4,TIGER 미국S&P500,26212,5,-128,-0.49,26182.0,-6.8793,38425426,1007884,208713
133690,4,TIGER 미국나스닥100,183490,2,950,0.52,183456.0,-10.5355,5138699,946545,120241
379800,4,KODEX 미국S&P500,23820,5,-120,-0.5,23801.0,-6.7831,24750249,589820,103724
102110,1,TIGER 200,112345,2,400,0.36,112434.0,-23.8656,13678680,1553911,102852
396500,2,TIGER 반도체TOP10,38435,2,190,0.5,38502.0,-28.8466,11366877,443730,102410
379810,4,KODEX 미국나스닥100,27435,2,145,0.53,27431.0,-10.5475,31860713,877427,97298
488770,7,KODEX 머니마켓액티브,105595,2,15,0.01,105614.0,0.8597,806280,85138,94361
278530,1,KODEX 200TR,40575,2,145,0.36,40597.0,-23.7961,686870,28171,79365
459580,6,KODEX CD금리액티브(합성),1075702,2,372,0.03,1075621.0,0.735,824176,886568,69528
498400,2,KODEX 200타겟위클리커버드콜,20800,2,70,0.34,20826.0,-23.9271,5816027,122518,61506
122630,3,KODEX 레버리지,114830,2,770,0.68,114986.0,-51.4907,15818199,1858631,61491
381180,4,TIGER 미국필라델피아반도체나스닥,43690,2,240,0.55,44009.0,-23.1485,2094624,92698,59222
091160,2,KODEX 반도체,136875,2,1625,1.2,137191.0,-25.2825,1363784,188651,59096
0167A0,2,SOL AI반도체TOP2플러스,18565,2,245,1.34,18586.0,-34.7114,15883978,299870,57978
310970,1,TIGER MSCI Korea TR,50190,2,195,0.39,50291.0,-24.4561,16292,831,46627
229200,1,KODEX 코스닥150,13945,5,-100,-0.71,13990.0,-17.212,18168097,255951,46451
148020,1,RISE 200,112930,2,390,0.35,113011.0,-23.727,996493,113682,45850
458730,4,TIGER 미국배당다우존스,14530,5,-220,-1.49,14469.0,-3.5717,2958964,42972,42624
395160,2,KODEX AI반도체TOP2플러스,42050,2,400,0.96,42094.0,-31.2707,4864112,208212,42218
0162Z0,7,RISE 삼성전자SK하이닉스채권혼합50,13895,5,-5,-0.04,13926.0,-12.2847,6892399,96674,42130
360200,4,ACE 미국S&P500,26500,5,-140,-0.53,26469.0,-6.6936,706638,18749,40095
411060,5,ACE KRX금현물,26460,5,-590,-2.18,26398.0,-3.771,768806,20512,39584
381170,4,TIGER 미국테크TOP10 INDXX,31900,2,145,0.46,31883.0,-3.5389,771016,24715,39524
395270,2,HANARO Fn K-반도체,59810,2,360,0.61,59893.0,-30.1164,1464082,89015,37501
423160,6,KODEX KOFR금리액티브(합성),110857,2,7,0.01,110851.0,0.7066,132103,14644,36298
367380,4,ACE 미국나스닥100,31555,2,185,0.59,31536.0,-10.533,441292,14010,35783
273130,6,KODEX 종합채권(AA-이상)액티브,109635,5,-25,-0.02,109721.0,-0.6523,11725,1287,35398
102780,2,KODEX 삼성그룹,26620,2,280,1.06,26667.0,-24.2342,396274,10613,34100
357870,6,TIGER CD금리투자KIS(합성),58115,2,25,0.04,58112.0,0.7632,267911,15569,33805
233740,3,KODEX 코스닥150레버리지,6800,5,-105,-1.52,6820.0,-40.2424,42434064,294365,33538
487240,2,KODEX AI전력핵심설비,37465,2,370,1.0,37522.0,-20.1853,3473013,132588,32894
0043B0,6,TIGER 머니마켓액티브,103765,2,45,0.04,103760.0,0.9293,137518,14269,31864
455890,6,RISE 머니마켓액티브,55587,2,17,0.03,55595.0,0.8438,289799,16109,31000
139260,2,TIGER 200 IT,142960,2,1760,1.25,143247.0,-31.1086,214730,31229,27648
472150,2,TIGER 배당커버드콜액티브,21010,2,45,0.21,21028.0,-23.1132,5287105,112465,26639
426030,4,TIME 미국나스닥100액티브,47830,5,-120,-0.25,48176.0,-22.6114,843561,40861,26220
486290,4,TIGER 미국나스닥100타겟데일리커버드콜,10640,2,15,0.14,10643.0,-10.6222,2160433,23067,25845
481050,6,KODEX CD1년금리플러스액티브(합성),1023975,2,485,0.05,1023590.0,0.7947,36149,37015,25615
278540,1,KODEX MSCI Korea TR,40000,2,175,0.44,40036.0,-24.1862,28976,1172,24640
0193T0,2,KODEX SK하이닉스단일종목레버리지,11620,5,-335,-2.8,11630.0,-69.5026,25457516,312321,24117
161510,2,PLUS 고배당주,24980,5,-20,-0.08,24975.0,-1.2725,574399,14302,23898
449170,6,TIGER KOFR금리액티브(합성),111960,2,30,0.03,111939.0,0.6926,56938,6374,23873
385540,6,RISE 종합채권(A-이상)액티브,102755,3,0,0.0,102753.0,-0.5854,8655,889,21788
456600,4,TIME 글로벌AI인공지능액티브,59785,2,5,0.01,59997.0,-19.6398,235948,14242,21439
284430,6,KODEX 200미국채혼합50,20920,5,-145,-0.69,20929.0,-15.8586,394116,8315,20284
292150,2,TIGER 코리아TOP10,39310,2,10,0.03,39370.0,-23.0956,608547,24191,19576
294400,1,KIWOOM 200TR,147040,2,355,0.24,147153.0,-23.697,66696,9924,18601
214980,6,KODEX 단기채권PLUS,114425,2,5,0.0,114469.0,0.6656,44500,5091,18111
442580,4,PLUS 글로벌HBM반도체,105410,2,40,0.04,105864.0,-26.3611,416071,44624,17846
105190,1,ACE 200,112335,2,380,0.34,112420.0,-23.9429,187427,21274,17300
441640,4,KODEX 미국배당커버드콜액티브,12345,5,-135,-1.08,12336.0,-5.101,1204804,14901,16968
305720,2,KODEX 2차전지산업,14320,5,-55,-0.38,14346.0,-15.1167,2339129,33657,16883
475630,7,TIGER CD1년금리액티브(합성),1078305,2,490,0.05,1078304.0,0.7901,120287,129705,16809
368590,4,RISE 미국나스닥100,30625,2,180,0.59,30589.0,-10.6092,207431,6370,16201
446770,4,ACE 글로벌반도체TOP4 Plus,79625,5,-125,-0.16,80083.0,-21.8363,104527,8435,16084
0193W0,2,KODEX 삼성전자단일종목레버리지,13255,2,385,2.99,13266.0,-54.7389,9156708,122952,15903
0195S0,2,TIGER SK하이닉스단일종목레버리지,9870,5,-295,-2.9,9876.0,-69.4654,14703101,153433,15725
329200,2,TIGER 리츠부동산인프라,4085,2,5,0.12,4072.0,1.8905,3510365,14323,15705
0177N0,7,KODEX 삼성전자SK하이닉스채권혼합50,14625,2,10,0.07,14644.0,-12.3446,3598815,53161,15649
477080,6,RISE CD금리액티브(합성),107685,2,45,0.04,107685.0,0.7299,5216,561,15469
152100,1,PLUS 200,113740,2,375,0.33,113854.0,-23.6981,195483,22475,15298
379780,4,RISE 미국S&P500,22915,5,-115,-0.5,22884.0,-6.758,329195,7540,14986
453850,6,ACE 미국30년국채액티브(H),7130,5,-5,-0.07,7154.0,-4.4045,535831,3830,14802
226490,1,KODEX 코스피,72115,2,245,0.34,72240.0,-22.6883,446380,32439,14748
487230,4,KODEX 미국AI전력핵심인프라,19535,5,-515,-2.57,19622.0,-25.3527,756362,14953,14651
466920,2,SOL 조선TOP3플러스,27265,2,15,0.06,27323.0,-27.2752,558163,15233,14478
