itemcode,etfTabCode,itemname,nowVal,risefall,changeVal,changeRate,nav,threeMonthEarnRate,quant,amonut,marketSum
069500,1,KODEX 200,113730,2,2030,1.82,113802.0,-23.8141,7237531,826640,262375
360750,4,TIGER 미국S&P500,26250,5,-90,-0.34,26229.0,-6.8793,9419565,247837,209016
133690,4,TIGER 미국나스닥100,184480,2,1940,1.06,183780.0,-10.5355,1279881,236683,120890
102110,1,TIGER 200,114020,2,2075,1.85,114075.0,-23.8656,3539210,405110,104385
396500,2,TIGER 반도체TOP10,39140,2,895,2.34,39202.0,-28.8466,3888195,153143,104289
379800,4,KODEX 미국S&P500,23865,5,-75,-0.31,23843.0,-6.7831,8155182,195034,103920
379810,4,KODEX 미국나스닥100,27585,2,295,1.08,27479.0,-10.5475,7947781,219873,97830
488770,7,KODEX 머니마켓액티브,105592,2,12,0.01,105614.0,0.8597,266268,28115,94358
278530,1,KODEX 200TR,41190,2,760,1.88,41230.0,-23.7961,191143,7909,80568
459580,6,KODEX CD금리액티브(합성),1075705,2,375,0.03,1075621.0,0.735,268147,288446,69528
122630,3,KODEX 레버리지,118270,2,4210,3.69,118342.0,-51.4907,5296546,631880,63334
498400,2,KODEX 200타겟위클리커버드콜,21090,2,360,1.74,21113.0,-23.9271,2597121,54999,62363
381180,4,TIGER 미국필라델피아반도체나스닥,44390,2,940,2.16,44086.0,-23.1485,652702,29127,60171
091160,2,KODEX 반도체,138600,2,3350,2.48,138879.0,-25.2825,599659,83525,59841
0167A0,2,SOL AI반도체TOP2플러스,18905,2,585,3.19,18952.0,-34.7114,6362533,121316,59040
310970,1,TIGER MSCI Korea TR,51055,2,1060,2.12,51091.0,-24.4561,7386,379,47430
229200,1,KODEX 코스닥150,14115,2,70,0.5,14166.0,-17.212,4395887,62248,47017
148020,1,RISE 200,114630,2,2090,1.86,114659.0,-23.727,342867,39435,46540
395160,2,KODEX AI반도체TOP2플러스,42850,2,1200,2.88,42945.0,-31.2707,1936825,83539,43021
0162Z0,7,RISE 삼성전자SK하이닉스채권혼합50,14075,2,175,1.26,14092.0,-12.2847,2386387,33664,42675
458730,4,TIGER 미국배당다우존스,14510,5,-240,-1.63,14495.0,-3.5717,1211607,17636,42565
360200,4,ACE 미국S&P500,26545,5,-95,-0.36,26516.0,-6.6936,193877,5164,40163
411060,5,ACE KRX금현물,26740,5,-310,-1.15,26671.0,-3.771,284485,7640,40003
381170,4,TIGER 미국테크TOP10 INDXX,32005,2,250,0.79,31939.0,-3.5389,351933,11322,39654
395270,2,HANARO Fn K-반도체,60945,2,1495,2.51,61078.0,-30.1164,548402,33635,38213
423160,6,KODEX KOFR금리액티브(합성),110860,2,10,0.01,110839.0,0.7066,49366,5472,36299
367380,4,ACE 미국나스닥100,31720,2,350,1.12,31592.0,-10.533,232579,7417,35970
273130,6,KODEX 종합채권(AA-이상)액티브,109840,2,180,0.16,109838.0,-0.6523,2355,258,35464
233740,3,KODEX 코스닥150레버리지,6970,2,65,0.94,6999.0,-40.2424,17558390,123279,34376
102780,2,KODEX 삼성그룹,26810,2,470,1.78,26851.0,-24.2342,153996,4162,34344
357870,6,TIGER CD금리투자KIS(합성),58112,2,22,0.04,58112.0,0.7632,82648,4802,33804
487240,2,KODEX AI전력핵심설비,38250,2,1155,3.11,38360.0,-20.1853,1847675,70938,33584
0043B0,6,TIGER 머니마켓액티브,103760,2,40,0.04,103760.0,0.9293,49163,5101,31863
455890,6,RISE 머니마켓액티브,55590,2,20,0.04,55595.0,0.8438,125083,6953,31001
139260,2,TIGER 200 IT,145505,2,4305,3.05,145875.0,-31.1086,96181,14071,28141
472150,2,TIGER 배당커버드콜액티브,21335,2,370,1.76,21341.0,-23.1132,2158245,46228,27051
426030,4,TIME 미국나스닥100액티브,48435,2,485,1.01,48259.0,-22.6114,360893,17579,26552
0193T0,2,KODEX SK하이닉스단일종목레버리지,12600,2,645,5.4,12641.0,-69.5026,7685120,97424,26151
486290,4,TIGER 미국나스닥100타겟데일리커버드콜,10695,2,70,0.66,10662.0,-10.6222,663946,7128,25978
481050,6,KODEX CD1년금리플러스액티브(합성),1023970,2,480,0.05,1023605.0,0.7947,29019,29714,25615
278540,1,KODEX MSCI Korea TR,40665,2,840,2.11,40673.0,-24.1862,5652,230,25050
449170,6,TIGER KOFR금리액티브(합성),111960,2,30,0.03,111920.0,0.6926,21934,2455,23873
161510,2,PLUS 고배당주,24900,5,-100,-0.4,24879.0,-1.2725,190296,4752,23822
385540,6,RISE 종합채권(A-이상)액티브,102950,2,195,0.19,102911.0,-0.5854,329,33,21830
456600,4,TIME 글로벌AI인공지능액티브,60485,2,705,1.18,60242.0,-19.6398,68136,4142,21690
284430,6,KODEX 200미국채혼합50,21090,2,25,0.12,21121.0,-15.8586,195885,4152,20449
292150,2,TIGER 코리아TOP10,39880,2,580,1.48,39949.0,-23.0956,167338,6706,19860
294400,1,KIWOOM 200TR,149280,2,2595,1.77,149447.0,-23.697,17879,2681,18884
442580,4,PLUS 글로벌HBM반도체,107745,2,2375,2.25,107314.0,-26.3611,184665,19975,18241
214980,6,KODEX 단기채권PLUS,114415,5,-5,0.0,114469.0,0.6656,8376,958,18110
105190,1,ACE 200,113945,2,1990,1.78,114059.0,-23.9429,32839,3759,17548
0195S0,2,TIGER SK하이닉스단일종목레버리지,10710,2,545,5.36,10735.0,-69.4654,4034659,43523,17064
441640,4,KODEX 미국배당커버드콜액티브,12360,5,-120,-0.96,12356.0,-5.101,480916,5967,16989
305720,2,KODEX 2차전지산업,14382,2,7,0.05,14394.0,-15.1167,861576,12439,16956
475630,7,TIGER CD1년금리액티브(합성),1078300,2,485,0.04,1078304.0,0.7901,76419,82402,16809
446770,4,ACE 글로벌반도체TOP4 Plus,81030,2,1280,1.61,80876.0,-21.8363,24239,1971,16368
368590,4,RISE 미국나스닥100,30775,2,330,1.08,30643.0,-10.6092,61407,1893,16280
0193W0,2,KODEX 삼성전자단일종목레버리지,13410,2,540,4.2,13455.0,-54.7389,3602445,48896,16089
0177N0,7,KODEX 삼성전자SK하이닉스채권혼합50,14805,2,190,1.3,14825.0,-12.3446,1594746,23671,15841
329200,2,TIGER 리츠부동산인프라,4080,3,0,0.0,4070.0,1.8905,871385,3553,15686
152100,1,PLUS 200,115465,2,2100,1.85,115516.0,-23.6981,70465,8166,15530
477080,6,RISE CD금리액티브(합성),107680,2,40,0.04,107685.0,0.7299,966,104,15468
379780,4,RISE 미국S&P500,22945,5,-85,-0.37,22925.0,-6.758,71750,1651,15006
226490,1,KODEX 코스피,73125,2,1255,1.75,73249.0,-22.6883,50239,3689,14954
453850,6,ACE 미국30년국채액티브(H),7150,2,15,0.21,7154.0,-4.4045,195516,1398,14843
487230,4,KODEX 미국AI전력핵심인프라,19725,5,-325,-1.62,19657.0,-25.3527,405674,8052,14794
091230,2,TIGER 반도체,146705,2,4015,2.81,146933.0,-24.857,63286,9324,14494
466920,2,SOL 조선TOP3플러스,27245,5,-5,-0.02,27297.0,-27.2752,234686,6404,14467
232080,1,TIGER 코스닥150,14380,2,65,0.45,14446.0,-17.4215,2938428,42368,14009
390390,4,KODEX 미국반도체,55575,2,1200,2.21,55178.0,-19.9741,224802,12553,13449
448330,1,KODEX 삼성전자채권혼합,17650,2,115,0.66,17697.0,-5.5025,208468,3686,13043
157450,6,TIGER 단기통안채,112700,2,30,0.03,112707.0,0.6161,2518,283,12954
