itemcode,etfTabCode,itemname,nowVal,risefall,changeVal,changeRate,nav,threeMonthEarnRate,quant,amonut,marketSum
069500,1,KODEX 200,105725,5,-270,-0.25,105906.0,-13.8968,13905339,1439379,245652
360750,4,TIGER 미국S&P500,26280,2,45,0.17,26240.0,-6.4088,27067972,710378,203079
133690,4,TIGER 미국나스닥100,178320,2,435,0.24,177693.0,-10.0252,11313104,2012887,112698
379800,4,KODEX 미국S&P500,23890,2,45,0.19,23852.0,-6.41,21815894,520372,100051
102110,1,TIGER 200,105965,5,-250,-0.24,106138.0,-13.8289,9068366,940564,99925
396500,2,TIGER 반도체TOP10,34635,5,-65,-0.19,34667.0,-27.7084,9242997,311904,93203
379810,4,KODEX 미국나스닥100,26660,2,65,0.24,26566.0,-10.0174,70611020,1877533,92044
488770,7,KODEX 머니마켓액티브,105330,2,10,0.01,105330.0,0.8522,341916,36013,82060
278530,1,KODEX 200TR,38285,5,-95,-0.25,38356.0,-13.8883,644565,24136,75575
459580,6,KODEX CD금리액티브(합성),1075620,2,85,0.01,1075797.0,0.7097,377276,405804,65972
122630,3,KODEX 레버리지,103470,5,-545,-0.52,103781.0,-39.3145,18208791,1807270,57529
498400,2,KODEX 200타겟위클리커버드콜,20035,5,-60,-0.3,20066.0,-13.5434,3971589,77773,56679
381180,4,TIGER 미국필라델피아반도체나스닥,41595,2,370,0.9,41120.0,-13.6058,1968127,81032,56403
0167A0,2,SOL AI반도체TOP2플러스,17040,2,90,0.53,17065.0,-15.1652,12974459,214244,55150
091160,2,KODEX 반도체,123170,2,935,0.76,123328.0,-21.3923,1488964,176416,54564
229200,1,KODEX 코스닥150,14185,2,110,0.78,14205.0,-28.8423,20312063,281331,49385
148020,1,RISE 200,106510,5,-225,-0.21,106701.0,-14.0309,1917329,200241,43776
458730,4,TIGER 미국배당다우존스,15420,2,65,0.42,15416.0,-0.6516,1268904,19559,43608
411060,5,ACE KRX금현물,29015,5,-50,-0.17,28916.0,-4.155,2464011,71931,42797
310970,1,TIGER MSCI Korea TR,47165,5,-310,-0.65,47306.0,-12.9618,5731,265,42779
0162Z0,7,RISE 삼성전자SK하이닉스채권혼합50,13225,5,-80,-0.6,13236.0,-2.3585,6206137,80979,40614
360200,4,ACE 미국S&P500,26560,2,40,0.15,26527.0,-6.4273,323382,8575,39415
