itemcode,etfTabCode,itemname,nowVal,risefall,changeVal,changeRate,nav,threeMonthEarnRate,quant,amonut,marketSum
069500,1,KODEX 200,104140,5,-1855,-1.75,104241.0,-13.8968,11263957,1161418,241969
360750,4,TIGER 미국S&P500,26275,2,40,0.15,26249.0,-6.4088,22194541,582314,203040
133690,4,TIGER 미국나스닥100,178095,2,210,0.12,177757.0,-10.0252,7042408,1251443,112556
379800,4,KODEX 미국S&P500,23885,2,40,0.17,23860.0,-6.41,18691018,445735,100030
102110,1,TIGER 200,104360,5,-1855,-1.75,104494.0,-13.8289,7582857,783933,98411
379810,4,KODEX 미국나스닥100,26625,2,30,0.11,26576.0,-10.0174,51066142,1356687,91923
396500,2,TIGER 반도체TOP10,34025,5,-675,-1.95,34039.0,-27.7084,6900327,231262,91561
488770,7,KODEX 머니마켓액티브,105325,2,5,0.0,105330.0,0.8522,265756,27991,82057
278530,1,KODEX 200TR,37720,5,-660,-1.72,37755.0,-13.8883,576081,21524,74459
459580,6,KODEX CD금리액티브(합성),1075617,2,82,0.01,1075797.0,0.7097,354215,380999,65972
381180,4,TIGER 미국필라델피아반도체나스닥,41380,2,155,0.38,41135.0,-13.6058,1480548,60775,56111
498400,2,KODEX 200타겟위클리커버드콜,19745,5,-350,-1.74,19772.0,-13.5434,3353062,65436,55859
122630,3,KODEX 레버리지,100315,5,-3700,-3.56,100519.0,-39.3145,14213395,1397753,55775
0167A0,2,SOL AI반도체TOP2플러스,16705,5,-245,-1.45,16717.0,-15.1652,10063992,165014,54066
091160,2,KODEX 반도체,120880,5,-1355,-1.11,121010.0,-21.3923,1283791,151291,53550
229200,1,KODEX 코스닥150,13980,5,-95,-0.67,14019.0,-28.8423,13059177,178941,48671
458730,4,TIGER 미국배당다우존스,15435,2,80,0.52,15422.0,-0.6516,979782,15099,43650
148020,1,RISE 200,104935,5,-1800,-1.69,105061.0,-14.0309,1528742,159072,43128
411060,5,ACE KRX금현물,29080,2,15,0.05,28980.0,-4.155,2152963,62910,42893
310970,1,TIGER MSCI Korea TR,46455,5,-1020,-2.15,46570.0,-12.9618,3815,175,42135
0162Z0,7,RISE 삼성전자SK하이닉스채권혼합50,13095,5,-210,-1.58,13094.0,-2.3585,4883474,63548,40215
360200,4,ACE 미국S&P500,26565,2,45,0.17,26537.0,-6.4273,261917,6942,39422
395160,2,KODEX AI반도체TOP2플러스,37415,5,-1035,-2.69,37440.0,-10.373,2767104,102035,38201
381170,4,TIGER 미국테크TOP10 INDXX,30190,5,-10,-0.03,30135.0,-13.665,200452,6037,37270
423160,6,KODEX KOFR금리액티브(합성),110865,2,5,0.0,110856.0,0.6749,40707,4512,35778
357870,6,TIGER CD금리투자KIS(합성),57950,3,0,0.0,57952.0,0.73,104255,6041,35515
367380,4,ACE 미국나스닥100,30630,2,45,0.15,30555.0,-10.0435,222420,6793,33999
395270,2,HANARO Fn K-반도체,53275,5,-1345,-2.46,53248.0,-11.8393,585320,30655,33617
273130,6,KODEX 종합채권(AA-이상)액티브,109710,2,70,0.06,109692.0,-1.0157,5577,611,33614
233740,3,KODEX 코스닥150레버리지,6905,5,-105,-1.5,6931.0,-56.5541,66782795,443322,33234
0043B0,6,TIGER 머니마켓액티브,103452,2,12,0.01,103454.0,0.8678,71047,7350,32919
102780,2,KODEX 삼성그룹,25195,5,-180,-0.71,25182.0,-10.3199,264480,6566,32577
455890,6,RISE 머니마켓액티브,55437,2,2,0.0,55441.0,0.8092,83986,4655,30281
487240,2,KODEX AI전력핵심설비,33355,5,-245,-0.73,33391.0,-38.9976,1857318,60593,29352
139260,2,TIGER 200 IT,129735,5,-3535,-2.65,129735.0,-13.7113,159442,20346,25999
481050,6,KODEX CD1년금리플러스액티브(합성),1023760,2,90,0.01,1023762.0,0.7577,10257,10500,25673
449170,6,TIGER KOFR금리액티브(합성),111675,3,0,0.0,111680.0,0.6534,41590,4644,24369
426030,4,TIME 미국나스닥100액티브,44470,2,100,0.23,44160.0,-19.765,466754,20552,24040
161510,2,PLUS 고배당주,25170,2,390,1.57,25198.0,-7.9789,357809,8911,24027
472150,2,TIGER 배당커버드콜액티브,19950,5,-340,-1.68,19932.0,-12.3541,3549400,69991,23403
486290,4,TIGER 미국나스닥100타겟데일리커버드콜,10495,2,5,0.05,10479.0,-10.3409,1302801,13636,23257
278540,1,KODEX MSCI Korea TR,37060,5,-720,-1.91,37073.0,-13.1994,11439,418,22718
0193T0,2,KODEX SK하이닉스단일종목레버리지,9120,5,-795,-8.02,9138.0,,22705458,201891,21136
456600,4,TIME 글로벌AI인공지능액티브,56140,5,-125,-0.22,55988.0,-13.3719,170047,9473,20682
284430,6,KODEX 200미국채혼합50,20550,5,-155,-0.75,20552.0,-10.1965,756765,15435,20073
292150,2,TIGER 코리아TOP10,36835,5,-630,-1.68,36806.0,-12.4543,194055,7060,19854
385540,6,RISE 종합채권(A-이상)액티브,102780,2,40,0.04,102766.0,-0.8493,346,35,19048
214980,6,KODEX 단기채권PLUS,114560,5,-5,0.0,114583.0,0.6349,13653,1564,18365
294400,1,KIWOOM 200TR,136835,5,-2330,-1.67,136849.0,-13.8618,469350,63598,17446
105190,1,ACE 200,104410,5,-1825,-1.72,104469.0,-14.114,257195,26534,16967
441640,4,KODEX 미국배당커버드콜액티브,12770,2,65,0.51,12765.0,-3.2021,452929,5770,16888
442580,4,PLUS 글로벌HBM반도체,96930,5,-1310,-1.33,96216.0,-5.5521,382163,36507,16682
477080,6,RISE CD금리액티브(합성),107395,2,10,0.01,107395.0,0.6938,7647,821,16660
305720,2,KODEX 2차전지산업,14305,5,-255,-1.75,14316.0,-25.9975,1464970,20857,16565
329200,2,TIGER 리츠부동산인프라,4115,3,0,0.0,4109.0,-1.6014,1329386,5461,15509
368590,4,RISE 미국나스닥100,29715,2,35,0.12,29644.0,-9.9514,79523,2355,15274
446770,4,ACE 글로벌반도체TOP4 Plus,74700,5,-980,-1.29,74560.0,-11.3288,39276,2910,15089
453850,6,ACE 미국30년국채액티브(H),7170,3,0,0.0,7175.0,-1.1914,605625,4342,15064
0177N0,7,KODEX 삼성전자SK하이닉스채권혼합50,13830,5,-230,-1.64,13832.0,-2.252,3569424,49078,14964
379780,4,RISE 미국S&P500,22970,2,40,0.17,22946.0,-6.388,71531,1640,14747
466920,2,SOL 조선TOP3플러스,27390,2,260,0.96,27439.0,-29.4776,565953,15370,14558
475630,7,TIGER CD1년금리액티브(합성),1075270,2,85,0.01,1075266.0,0.759,26036,27995,14492
487230,4,KODEX 미국AI전력핵심인프라,19160,2,135,0.71,19005.0,-28.2479,344687,6561,14466
152100,1,PLUS 200,105790,5,-1825,-1.7,105827.0,-14.0646,473696,49573,14440
0193W0,2,KODEX 삼성전자단일종목레버리지,11140,5,-565,-4.83,11151.0,,7288225,79137,14270
436140,6,SOL 종합채권(AA-이상)액티브,106075,2,90,0.08,106041.0,-0.8282,10,1,13625
232080,1,TIGER 코스닥150,14260,5,-110,-0.77,14296.0,-28.7909,3686468,51486,13282
226490,1,KODEX 코스피,67895,5,-1045,-1.52,67888.0,-14.1457,167388,11235,13070
091230,2,TIGER 반도체,127920,5,-780,-0.61,128007.0,-20.9859,72503,9063,12946
0195S0,2,TIGER SK하이닉스단일종목레버리지,7745,5,-655,-7.8,7736.0,,12158034,91715,12928
0072R0,5,TIGER KRX금현물,13900,2,20,0.14,13849.0,-4.3089,1543247,21527,12864
157450,6,TIGER 단기통안채,112480,2,10,0.01,112485.0,0.6127,13446,1512,12650
448330,1,KODEX 삼성전자채권혼합,17205,5,-115,-0.66,17199.0,-0.738,525416,9009,12577
390390,4,KODEX 미국반도체,51680,5,-100,-0.19,51467.0,-12.2468,405464,20858,12377
438080,7,ACE 미국S&P500미국채혼합50액티브,14070,2,30,0.21,14056.0,-7.3574,309513,4346,12283
0183J0,4,TIGER 미국우주테크,7785,5,-185,-2.32,7744.0,-45.6159,713755,5512,11401
0139F0,6,TIGER 12월자동연장금융채(AA-이상)액티브,102075,2,25,0.02,102070.0,0.6956,35,3,10797
445290,2,KODEX 로봇액티브,30650,5,-165,-0.54,30668.0,-24.1651,245739,7423,10682
469150,2,ACE AI반도체TOP3+,55165,5,-390,-0.7,55184.0,-24.2553,223341,12023,10674
446720,4,SOL 미국배당다우존스,14145,2,70,0.5,14135.0,-0.5358,181908,2568,10651
465580,4,ACE 미국빅테크TOP7 Plus,23895,2,115,0.48,23846.0,-9.4785,249508,5938,10562
497570,4,TIGER 미국필라델피아AI반도체나스닥,20880,5,-75,-0.36,20824.0,-10.8762,364065,7569,10555
494890,1,KODEX 200액티브,30070,5,-515,-1.68,30047.0,-13.9445,154031,4581,10374
479520,6,RISE KOFR금리액티브(합성),106310,2,25,0.02,106304.0,0.6439,4302,457,10320
356540,6,ACE 종합채권(AA-이상)액티브,101075,3,0,0.0,101086.0,-0.7512,81,8,10298
449450,2,PLUS K방산,52830,5,-225,-0.42,52907.0,-26.2972,131966,6944,10297
451540,6,TIGER 종합채권(AA-이상)액티브,52735,2,55,0.1,52734.0,-0.9868,1846,97,10204
449180,4,KODEX 미국S&P500(H),17095,2,5,0.03,17079.0,2.2757,362172,6185,10163
469830,6,SOL 초단기채권액티브,54335,3,0,0.0,54340.0,0.8257,90005,4890,10094
455850,2,SOL AI반도체소부장,23455,2,700,3.08,23466.0,-28.9018,560378,12675,9910
402970,4,ACE 미국배당다우존스,15665,2,70,0.45,15671.0,-0.5431,193855,3033,9822
