itemcode,etfTabCode,itemname,nowVal,risefall,changeVal,changeRate,nav,threeMonthEarnRate,quant,amonut,marketSum
069500,1,KODEX 200,105500,5,-4000,-3.65,105827.0,-11.4087,19458989,2063607,243336
360750,4,TIGER 미국S&P500,25415,5,-25,-0.1,25547.0,-7.9177,20306717,516246,201300
133690,4,TIGER 미국나스닥100,172675,5,-1330,-0.76,174918.0,-10.4223,2706119,467474,112722
379800,4,KODEX 미국S&P500,23100,5,-30,-0.13,23221.0,-7.8858,10929277,252565,99942
102110,1,TIGER 200,105755,5,-3980,-3.63,106072.0,-11.3109,9757098,1037696,97136
396500,2,TIGER 반도체TOP10,35070,5,-1525,-4.17,35086.0,-24.6397,5725612,202070,93444
379810,4,KODEX 미국나스닥100,25820,5,-195,-0.75,26153.0,-10.4236,13388782,345837,89595
488770,7,KODEX 머니마켓액티브,105510,2,5,0.0,105515.0,0.8748,331330,34959,84989
278530,1,KODEX 200TR,38225,5,-1415,-3.57,38301.0,-11.2902,436694,16755,74309
459580,6,KODEX CD금리액티브(합성),1074670,2,90,0.01,1074877.0,0.7285,734320,789149,68664
498400,2,KODEX 200타겟위클리커버드콜,19705,5,-755,-3.69,19713.0,-11.701,7721395,152790,57657
381180,4,TIGER 미국필라델피아반도체나스닥,40185,5,-635,-1.56,41385.0,-17.461,1536857,62015,54812
091160,2,KODEX 반도체,124205,5,-4695,-3.64,124422.0,-18.4178,1398133,174904,53594
0167A0,2,SOL AI반도체TOP2플러스,16740,5,-850,-4.83,16755.0,-21.2976,6602349,111499,52354
122630,3,KODEX 레버리지,102115,5,-7880,-7.16,102351.0,-34.0281,13239945,1363583,51160
229200,1,KODEX 코스닥150,13580,5,-260,-1.88,13619.0,-21.5198,14620721,198342,46253
310970,1,TIGER MSCI Korea TR,47050,5,-1675,-3.44,47062.0,-11.272,8620,407,43662
148020,1,RISE 200,106335,5,-4000,-3.63,106625.0,-11.4057,693859,74118,42906
458730,4,TIGER 미국배당다우존스,14537,2,37,0.26,14497.0,-6.4809,1318849,19169,42310
0162Z0,7,RISE 삼성전자SK하이닉스채권혼합50,13270,5,-330,-2.43,13276.0,-3.8888,4493456,59857,40142
411060,5,ACE KRX금현물,26225,5,-265,-1.0,26201.0,-4.1953,436814,11483,39180
360200,4,ACE 미국S&P500,25685,5,-25,-0.1,25826.0,-7.8582,585744,15053,38784
395160,2,KODEX AI반도체TOP2플러스,37992,5,-2138,-5.33,38012.0,-17.0526,2762779,105850,37916
381170,4,TIGER 미국테크TOP10 INDXX,29935,5,-110,-0.37,30319.0,-7.9786,486060,14560,37030
423160,6,KODEX KOFR금리액티브(합성),110785,2,10,0.01,110775.0,0.7067,61419,6804,36238
357870,6,TIGER CD금리투자KIS(합성),58052,2,2,0.0,58050.0,0.7637,122630,7119,35477
0043B0,6,TIGER 머니마켓액티브,103645,2,10,0.01,103646.0,0.9104,108188,11212,34509
273130,6,KODEX 종합채권(AA-이상)액티브,109290,5,-60,-0.05,109319.0,-0.4643,11424,1249,34226
395270,2,HANARO Fn K-반도체,54180,5,-2915,-5.11,54222.0,-17.4928,875171,47804,33835
367380,4,ACE 미국나스닥100,29685,5,-235,-0.79,30068.0,-10.4343,528343,15694,33514
102780,2,KODEX 삼성그룹,25465,5,-775,-2.95,25491.0,-9.8282,166227,4227,32595
455890,6,RISE 머니마켓액티브,55530,2,10,0.02,55534.0,0.8079,67930,3772,31301
233740,3,KODEX 코스닥150레버리지,6435,5,-285,-4.24,6463.0,-46.5394,45775292,293660,31100
487240,2,KODEX AI전력핵심설비,35575,5,-930,-2.55,35613.0,-14.9802,1615328,57678,30986
139260,2,TIGER 200 IT,131250,5,-7185,-5.19,131380.0,-16.1344,99763,13178,25725
481050,6,KODEX CD1년금리플러스액티브(합성),1022845,2,90,0.01,1022823.0,0.7893,55059,56316,25146
161510,2,PLUS 고배당주,25625,2,105,0.41,25691.0,0.2918,391537,9978,24546
426030,4,TIME 미국나스닥100액티브,44100,5,-750,-1.67,45309.0,-16.4727,646744,28557,24070
486290,4,TIGER 미국나스닥100타겟데일리커버드콜,10060,5,-85,-0.84,10189.0,-10.5669,1058857,10661,23973
472150,2,TIGER 배당커버드콜액티브,19810,5,-755,-3.67,19802.0,-9.6641,4977232,98840,23962
449170,6,TIGER KOFR금리액티브(합성),111860,2,5,0.0,111864.0,0.684,46126,5159,23846
278540,1,KODEX MSCI Korea TR,37480,5,-1520,-3.9,37465.0,-10.6939,175758,6615,22938
0193T0,2,KODEX SK하이닉스단일종목레버리지,9995,5,-1405,-12.32,9996.0,-50.4025,20727680,211508,21652
385540,6,RISE 종합채권(A-이상)액티브,102320,5,-95,-0.09,102321.0,-0.4327,607,62,21490
456600,4,TIME 글로벌AI인공지능액티브,55230,5,-1185,-2.1,56170.0,-13.0539,53793,2977,19960
284430,6,KODEX 200미국채혼합50,20195,5,-375,-1.82,20217.0,-11.5141,283307,5732,19646
214980,6,KODEX 단기채권PLUS,114400,3,0,0.0,114428.0,0.7096,11883,1359,18394
292150,2,TIGER 코리아TOP10,37435,5,-1400,-3.6,37475.0,-10.174,484985,18232,18137
294400,1,KIWOOM 200TR,138590,5,-5190,-3.61,138849.0,-10.9087,115065,16039,17601
305720,2,KODEX 2차전지산업,14495,5,-400,-2.69,14501.0,-9.0382,2350458,34213,16959
441640,4,KODEX 미국배당커버드콜액티브,12170,5,-10,-0.08,12204.0,-6.4085,509709,6204,16795
105190,1,ACE 200,105820,5,-3905,-3.56,106072.0,-11.4568,100823,10703,16508
442580,4,PLUS 글로벌HBM반도체,96110,5,-4910,-4.86,97708.0,-12.5368,170000,16430,16368
329200,2,TIGER 리츠부동산인프라,4052,2,12,0.3,4055.0,-0.4456,1489336,6024,15533
477080,6,RISE CD금리액티브(합성),107575,2,10,0.01,107575.0,0.7257,13200,1419,15509
475630,7,TIGER CD1년금리액티브(합성),1077100,2,25,0.0,1077104.0,0.7874,127104,136903,15438
466920,2,SOL 조선TOP3플러스,28870,2,170,0.59,28956.0,-15.1892,777234,22217,15330
368590,4,RISE 미국나스닥100,28795,5,-240,-0.83,29176.0,-10.3605,186040,5366,15233
446770,4,ACE 글로벌반도체TOP4 Plus,74055,5,-2405,-3.15,75465.0,-13.0636,92836,6890,14996
0177N0,7,KODEX 삼성전자SK하이닉스채권혼합50,13945,5,-375,-2.62,13958.0,-3.6729,2702166,37858,14907
453850,6,ACE 미국30년국채액티브(H),7045,5,-10,-0.14,7059.0,-3.7531,471399,3327,14689
379780,4,RISE 미국S&P500,22210,5,-40,-0.18,22332.0,-7.8318,157452,3500,14570
152100,1,PLUS 200,107175,5,-4015,-3.61,107432.0,-11.5026,199052,21435,14415
487230,4,KODEX 미국AI전력핵심인프라,18995,2,85,0.45,19609.0,-19.4367,419928,8024,14313
226490,1,KODEX 코스피,68775,5,-2040,-2.88,68771.0,-11.1318,147223,10148,14030
232080,1,TIGER 코스닥150,13835,5,-285,-2.02,13890.0,-21.2054,16325269,226431,13348
0195S0,2,TIGER SK하이닉스단일종목레버리지,8480,5,-1260,-12.94,8492.0,-50.1536,12419462,107802,13231
0193W0,2,KODEX 삼성전자단일종목레버리지,10730,5,-995,-8.49,10756.0,-42.623,6152498,66814,13077
091230,2,TIGER 반도체,131485,5,-5330,-3.9,131682.0,-17.5104,78931,10443,13070
