itemcode,etfTabCode,itemname,nowVal,risefall,changeVal,changeRate,nav,threeMonthEarnRate,quant,amonut,marketSum
069500,1,KODEX 200,111760,2,940,0.85,111820.0,-15.2537,1170200,130608,259507
360750,4,TIGER 미국S&P500,25590,5,-70,-0.27,25627.0,-10.8243,1315144,33695,201278
133690,4,TIGER 미국나스닥100,175315,5,-605,-0.34,175127.0,-14.2709,130162,22846,113639
102110,1,TIGER 200,112005,2,975,0.88,112084.0,-15.0561,639227,71513,104837
396500,2,TIGER 반도체TOP10,37690,2,620,1.67,37756.0,-25.1943,1080140,40499,100576
379800,4,KODEX 미국S&P500,23260,5,-60,-0.26,23295.0,-10.7867,766260,17847,99646
379810,4,KODEX 미국나스닥100,26215,5,-85,-0.32,26184.0,-14.2131,226123,5933,90193
488770,7,KODEX 머니마켓액티브,105455,2,5,0.0,105459.0,0.856,37977,4004,79885
278530,1,KODEX 200TR,40495,2,330,0.82,40523.0,-15.1743,44848,1813,79330
459580,6,KODEX CD금리액티브(합성),1074115,2,85,0.01,1074318.0,0.7243,72743,78134,65328
122630,3,KODEX 레버리지,114875,2,1830,1.62,115083.0,-40.4494,1100106,126152,63813
498400,2,KODEX 200타겟위클리커버드콜,21100,2,245,1.17,21124.0,-15.5782,521395,10989,60599
091160,2,KODEX 반도체,133335,2,2135,1.63,133653.0,-16.5289,218092,28939,58334
0167A0,2,SOL AI반도체TOP2플러스,18160,2,180,1.0,18191.0,-21.1577,1185145,21428,57812
381180,4,TIGER 미국필라델피아반도체나스닥,41340,2,130,0.32,40881.0,-23.2885,53744,2221,55995
229200,1,KODEX 코스닥150,14080,2,50,0.36,14125.0,-20.0798,1965939,27715,47555
148020,1,RISE 200,112600,2,960,0.86,112661.0,-15.2091,40921,4607,45772
310970,1,TIGER MSCI Korea TR,49855,2,395,0.8,49986.0,-15.2575,136,6,45218
458730,4,TIGER 미국배당다우존스,14650,5,-30,-0.2,14717.0,-6.9,156899,2302,42265
0162Z0,7,RISE 삼성전자SK하이닉스채권혼합50,13725,2,75,0.55,13742.0,-4.844,583894,7997,42081
395160,2,KODEX AI반도체TOP2플러스,41115,2,270,0.66,41195.0,-16.1724,418486,17161,41855
411060,5,ACE KRX금현물,26700,2,35,0.13,26666.0,-11.6029,53384,1427,39836
360200,4,ACE 미국S&P500,25870,5,-65,-0.25,25908.0,-10.7991,41261,1068,38805
381170,4,TIGER 미국테크TOP10 INDXX,30145,5,-195,-0.64,30172.0,-12.9662,49929,1507,37259
395270,2,HANARO Fn K-반도체,58515,2,395,0.68,58593.0,-16.2054,143374,8363,36923
233740,3,KODEX 코스닥150레버리지,6945,2,45,0.65,6981.0,-45.6265,10513706,73185,35808
423160,6,KODEX KOFR금리액티브(합성),110727,2,7,0.01,110708.0,0.6885,3909,432,35735
357870,6,TIGER CD금리투자KIS(합성),58022,2,2,0.0,58020.0,0.7554,8299,481,35533
102780,2,KODEX 삼성그룹,26785,2,40,0.15,26796.0,-15.2164,40323,1082,34446
273130,6,KODEX 종합채권(AA-이상)액티브,109895,2,55,0.05,109834.0,-0.1909,252,27,34262
