itemcode,etfTabCode,itemname,nowVal,risefall,changeVal,changeRate,nav,threeMonthEarnRate,quant,amonut,marketSum
069500,1,KODEX 200,107835,2,1040,0.97,107864.0,-13.2469,18631750,2007274,249908
360750,4,TIGER 미국S&P500,26340,5,-15,-0.06,26366.0,-5.9807,42669711,1123631,203885
133690,4,TIGER 미국나스닥100,178740,5,-290,-0.16,179121.0,-9.4461,5258519,939322,113160
102110,1,TIGER 200,108115,2,1175,1.1,108159.0,-13.2407,9858756,1064324,101142
379800,4,KODEX 미국S&P500,23945,5,-10,-0.04,23966.0,-5.9782,21056239,503965,100557
396500,2,TIGER 반도체TOP10,35335,2,230,0.66,35341.0,-26.8646,7307138,257480,95422
379810,4,KODEX 미국나스닥100,26725,5,-40,-0.15,26780.0,-9.4422,31639341,844106,92482
488770,7,KODEX 머니마켓액티브,105337,2,7,0.01,105340.0,0.8618,442063,46565,81657
278530,1,KODEX 200TR,39050,2,395,1.02,39067.0,-13.2713,655425,25634,76792
459580,6,KODEX CD금리액티브(합성),1075695,2,75,0.01,1075884.0,0.7177,425333,457529,65726
498400,2,KODEX 200타겟위클리커버드콜,20420,2,190,0.94,20443.0,-12.9625,4409570,89951,57564
122630,3,KODEX 레버리지,107720,2,2170,2.06,107855.0,-38.419,16836583,1808590,57092
381180,4,TIGER 미국필라델피아반도체나스닥,41755,5,-125,-0.3,41780.0,-12.2332,1249874,52110,56411
0167A0,2,SOL AI반도체TOP2플러스,17290,2,20,0.12,17311.0,-13.5636,12293735,212083,55708
091160,2,KODEX 반도체,125100,2,185,0.15,125227.0,-19.6689,1160635,145104,54981
229200,1,KODEX 코스닥150,14230,5,-70,-0.49,14271.0,-27.7048,20950450,297196,50253
148020,1,RISE 200,108670,2,1150,1.07,108722.0,-13.3986,657375,71169,44446
310970,1,TIGER MSCI Korea TR,48260,2,495,1.04,48206.0,-12.4302,3687,177,43772
458730,4,TIGER 미국배당다우존스,15395,5,-35,-0.23,15392.0,-0.1664,1781049,27413,43653
411060,5,ACE KRX금현물,29070,5,-55,-0.19,28963.0,-3.9572,1116408,32481,42995
0162Z0,7,RISE 삼성전자SK하이닉스채권혼합50,13390,2,75,0.56,13398.0,-2.2851,5913454,79203,41201
360200,4,ACE 미국S&P500,26630,5,-5,-0.02,26655.0,-6.0215,496301,13203,39652
395160,2,KODEX AI반도체TOP2플러스,38865,2,5,0.01,38876.0,-9.4173,3265536,126757,39565
381170,4,TIGER 미국테크TOP10 INDXX,30380,2,70,0.23,30399.0,-13.3505,348223,10564,37489
233740,3,KODEX 코스닥150레버리지,7150,5,-70,-0.97,7179.0,-55.2526,64417060,457294,36258
423160,6,KODEX KOFR금리액티브(합성),110870,2,5,0.0,110864.0,0.6794,45841,5082,35758
357870,6,TIGER CD금리투자KIS(합성),57955,3,0,0.0,57957.0,0.7387,126746,7345,35518
395270,2,HANARO Fn K-반도체,55170,5,-70,-0.13,55224.0,-10.8386,619128,34153,34785
367380,4,ACE 미국나스닥100,30730,5,-50,-0.16,30790.0,-9.47,983265,30172,34264
102780,2,KODEX 삼성그룹,26165,2,515,2.01,26201.0,-9.348,433270,11274,33858
273130,6,KODEX 종합채권(AA-이상)액티브,110070,2,270,0.25,109942.0,-0.8713,18165,1999,33619
0043B0,6,TIGER 머니마켓액티브,103465,2,15,0.01,103463.0,0.8776,111256,11510,32743
487240,2,KODEX AI전력핵심설비,34850,2,760,2.23,34904.0,-38.108,2521416,86724,30598
455890,6,RISE 머니마켓액티브,55445,2,10,0.02,55446.0,0.8092,108073,5991,30344
139260,2,TIGER 200 IT,134185,5,-105,-0.08,134246.0,-13.0509,234755,31454,26891
481050,6,KODEX CD1년금리플러스액티브(합성),1023855,2,90,0.01,1023861.0,0.767,9820,10054,25675
449170,6,TIGER KOFR금리액티브(합성),111690,2,10,0.01,111687.0,0.6579,37490,4187,24352
426030,4,TIME 미국나스닥100액티브,44980,5,-15,-0.03,45091.0,-18.6348,932549,41879,24316
161510,2,PLUS 고배당주,25410,2,245,0.97,25457.0,-6.5492,492346,12463,24272
472150,2,TIGER 배당커버드콜액티브,20630,2,180,0.88,20630.0,-11.6629,4391729,90469,24178
278540,1,KODEX MSCI Korea TR,38335,2,335,0.88,38375.0,-12.6939,19816,762,23499
486290,4,TIGER 미국나스닥100타겟데일리커버드콜,10540,5,-20,-0.19,10559.0,-9.7426,1424768,14993,23494
0193T0,2,KODEX SK하이닉스단일종목레버리지,10150,2,65,0.64,10167.0,,25339856,260039,23342
456600,4,TIME 글로벌AI인공지능액티브,56590,5,-210,-0.37,56781.0,-12.5482,218935,12375,20802
292150,2,TIGER 코리아TOP10,37935,2,315,0.84,37941.0,-12.0921,261594,9930,20485
284430,6,KODEX 200미국채혼합50,20960,2,135,0.65,20966.0,-9.676,710346,14849,20474
385540,6,RISE 종합채권(A-이상)액티브,103065,2,225,0.22,103036.0,-0.7528,356,36,19011
214980,6,KODEX 단기채권PLUS,114575,2,20,0.02,114590.0,0.6261,15066,1726,18340
294400,1,KIWOOM 200TR,141550,2,1435,1.02,141625.0,-13.2738,156045,22065,18048
105190,1,ACE 200,108150,2,1195,1.12,108112.0,-13.5319,92212,9940,17412
441640,4,KODEX 미국배당커버드콜액티브,12815,2,25,0.2,12814.0,-2.5544,607949,7780,17018
442580,4,PLUS 글로벌HBM반도체,98950,5,-230,-0.23,99284.0,-4.6484,541239,53586,16911
