itemcode,etfTabCode,itemname,nowVal,risefall,changeVal,changeRate,nav,threeMonthEarnRate,quant,amonut,marketSum
069500,1,KODEX 200,112565,2,685,0.61,112657.0,-24.4345,16796268,1895278,259181
360750,4,TIGER 미국S&P500,26085,5,-140,-0.53,26041.0,-7.9835,20506174,534141,208119
133690,4,TIGER 미국나스닥100,184025,2,685,0.37,183957.0,-11.3389,5227394,961523,120684
396500,2,TIGER 반도체TOP10,39135,2,750,1.95,39210.0,-31.0491,5538163,216906,104099
379800,4,KODEX 미국S&P500,23702,5,-98,-0.41,23672.0,-8.1465,19608121,464437,103412
102110,1,TIGER 200,112875,2,695,0.62,112927.0,-24.1769,13767960,1557357,103168
379810,4,KODEX 미국나스닥100,27515,2,95,0.35,27506.0,-11.3097,21396690,588364,97926
488770,7,KODEX 머니마켓액티브,105642,2,47,0.04,105625.0,0.8596,705416,74520,96211
278530,1,KODEX 200TR,40775,2,240,0.59,40804.0,-24.2549,316731,12947,79572
459580,6,KODEX CD금리액티브(합성),1075792,2,87,0.01,1076220.0,0.7622,447346,481251,69792
498400,2,KODEX 200타겟위클리커버드콜,20905,2,105,0.5,20935.0,-24.004,3386118,71045,61607
381180,4,TIGER 미국필라델피아반도체나스닥,44465,2,795,1.82,44622.0,-24.3826,906048,40311,60584
091160,2,KODEX 반도체,139325,2,2630,1.92,139553.0,-27.4231,1391676,193711,59945
0167A0,2,SOL AI반도체TOP2플러스,19010,2,530,2.87,19034.0,-36.1328,11424873,216887,59150
122630,3,KODEX 레버리지,115835,2,1435,1.25,116029.0,-52.1339,9372681,1094234,58902
310970,1,TIGER MSCI Korea TR,50610,2,310,0.62,50674.0,-24.9254,6676,338,47017
229200,1,KODEX 코스닥150,14050,2,130,0.93,14088.0,-19.908,14318438,201310,47011
148020,1,RISE 200,113415,2,700,0.62,113505.0,-24.4597,641407,73163,45876
395160,2,KODEX AI반도체TOP2플러스,42785,2,890,2.12,42838.0,-33.5,3265275,139900,42828
458730,4,TIGER 미국배당다우존스,14440,5,-80,-0.55,14397.0,-5.6876,1603327,23109,42432
0162Z0,7,RISE 삼성전자SK하이닉스채권혼합50,13995,2,105,0.76,14012.0,-13.438,3533872,49525,42335
360200,4,ACE 미국S&P500,26365,5,-115,-0.43,26326.0,-8.1208,414466,10913,39864
411060,5,ACE KRX금현물,26515,2,70,0.26,26435.0,-7.2594,382254,10144,39693
