itemcode,etfTabCode,itemname,nowVal,risefall,changeVal,changeRate,nav,threeMonthEarnRate,quant,amonut,marketSum
069500,1,KODEX 200,103280,5,-2715,-2.56,103457.0,-13.8968,9863415,1015586,239971
360750,4,TIGER 미국S&P500,26255,2,20,0.08,26230.0,-6.4088,19817022,519860,202886
133690,4,TIGER 미국나스닥100,177850,5,-35,-0.02,177629.0,-10.0252,6066457,1077678,112401
379800,4,KODEX 미국S&P500,23865,2,20,0.08,23843.0,-6.41,16781056,400135,99947
102110,1,TIGER 200,103490,5,-2725,-2.57,103666.0,-13.8289,6537812,674915,97591
379810,4,KODEX 미국나스닥100,26585,5,-10,-0.04,26557.0,-10.0174,43299393,1149995,91785
396500,2,TIGER 반도체TOP10,33575,5,-1125,-3.24,33644.0,-27.7084,5770176,192899,90350
488770,7,KODEX 머니마켓액티브,105325,2,5,0.0,105330.0,0.8522,222321,23416,82057
278530,1,KODEX 200TR,37405,5,-975,-2.54,37483.0,-13.8883,466080,17374,73837
459580,6,KODEX CD금리액티브(합성),1075615,2,80,0.01,1075797.0,0.7097,335363,360722,65972
381180,4,TIGER 미국필라델피아반도체나스닥,41195,5,-30,-0.07,41105.0,-13.6058,1340804,54997,55860
498400,2,KODEX 200타겟위클리커버드콜,19595,5,-500,-2.49,19635.0,-13.5434,3043702,59327,55434
122630,3,KODEX 레버리지,98635,5,-5380,-5.17,99129.0,-39.3145,12193227,1195182,54841
0167A0,2,SOL AI반도체TOP2플러스,16430,5,-520,-3.07,16476.0,-15.1652,8840295,144639,53176
091160,2,KODEX 반도체,119090,5,-3145,-2.57,119355.0,-21.3923,1187493,139669,52757
229200,1,KODEX 코스닥150,13770,5,-305,-2.17,13823.0,-28.8423,11151015,152365,47940
458730,4,TIGER 미국배당다우존스,15430,2,75,0.49,15411.0,-0.6516,891389,13734,43636
411060,5,ACE KRX금현물,28995,5,-70,-0.24,28909.0,-4.155,1995883,58350,42768
148020,1,RISE 200,104055,5,-2680,-2.51,104235.0,-14.0309,1215891,126244,42767
310970,1,TIGER MSCI Korea TR,46155,5,-1320,-2.78,46222.0,-12.9618,3571,164,41863
0162Z0,7,RISE 삼성전자SK하이닉스채권혼합50,13030,5,-275,-2.07,13039.0,-2.3585,4298772,55893,40015
360200,4,ACE 미국S&P500,26540,2,20,0.08,26518.0,-6.4273,235051,6229,39385
395160,2,KODEX AI반도체TOP2플러스,36885,5,-1565,-4.07,36971.0,-10.373,2379690,87573,37660
381170,4,TIGER 미국테크TOP10 INDXX,30170,5,-30,-0.1,30113.0,-13.665,176202,5306,37245
423160,6,KODEX KOFR금리액티브(합성),110860,3,0,0.0,110856.0,0.6749,35360,3920,35777
357870,6,TIGER CD금리투자KIS(합성),57950,3,0,0.0,57952.0,0.73,91228,5286,35515
367380,4,ACE 미국나스닥100,30580,5,-5,-0.02,30533.0,-10.0435,191023,5832,33944
