itemcode,etfTabCode,itemname,nowVal,risefall,changeVal,changeRate,nav,threeMonthEarnRate,quant,amonut,marketSum
069500,1,KODEX 200,105475,5,-520,-0.49,105607.0,-13.8968,12934003,1337006,245071
360750,4,TIGER 미국S&P500,26290,2,55,0.21,26249.0,-6.4088,24934436,654337,203156
133690,4,TIGER 미국나스닥100,178390,2,505,0.28,177757.0,-10.0252,10030644,1784288,112742
379800,4,KODEX 미국S&P500,23895,2,50,0.21,23860.0,-6.41,20149266,480581,100072
102110,1,TIGER 200,105725,5,-490,-0.46,105836.0,-13.8289,8457251,876013,99699
396500,2,TIGER 반도체TOP10,34520,5,-180,-0.52,34559.0,-27.7084,8667653,292069,92893
379810,4,KODEX 미국나스닥100,26670,2,75,0.28,26576.0,-10.0174,60169573,1599337,92078
488770,7,KODEX 머니마켓액티브,105325,2,5,0.0,105330.0,0.8522,312078,32870,82057
278530,1,KODEX 200TR,38185,5,-195,-0.51,38254.0,-13.8883,610581,22838,75377
459580,6,KODEX CD금리액티브(합성),1075617,2,82,0.01,1075797.0,0.7097,369273,397196,65972
122630,3,KODEX 레버리지,103025,5,-990,-0.95,103277.0,-39.3145,16656610,1647592,57282
498400,2,KODEX 200타겟위클리커버드콜,19985,5,-110,-0.55,20025.0,-13.5434,3746943,73285,56538
381180,4,TIGER 미국필라델피아반도체나스닥,41595,2,370,0.9,41135.0,-13.6058,1565961,64320,56403
0167A0,2,SOL AI반도체TOP2플러스,16960,2,10,0.06,16979.0,-15.1652,11986831,197495,54891
091160,2,KODEX 반도체,122870,2,635,0.52,123031.0,-21.3923,1395801,164994,54431
229200,1,KODEX 코스닥150,14130,2,55,0.39,14157.0,-28.8423,17081584,235707,49194
148020,1,RISE 200,106240,5,-495,-0.46,106400.0,-14.0309,1798046,187574,43665
458730,4,TIGER 미국배당다우존스,15430,2,75,0.49,15422.0,-0.6516,1177338,18148,43636
310970,1,TIGER MSCI Korea TR,47190,5,-285,-0.6,47214.0,-12.9618,4403,203,42801
411060,5,ACE KRX금현물,28965,5,-100,-0.34,28891.0,-4.155,2312853,67553,42723
0162Z0,7,RISE 삼성전자SK하이닉스채권혼합50,13205,5,-100,-0.75,13219.0,-2.3585,5655706,73717,40553
360200,4,ACE 미국S&P500,26575,2,55,0.21,26537.0,-6.4273,294181,7799,39437
395160,2,KODEX AI반도체TOP2플러스,38045,5,-405,-1.05,38080.0,-10.373,3239133,119909,38844
381170,4,TIGER 미국테크TOP10 INDXX,30225,2,25,0.08,30135.0,-13.665,211262,6364,37313
423160,6,KODEX KOFR금리액티브(합성),110860,3,0,0.0,110856.0,0.6749,46110,5111,35777
357870,6,TIGER CD금리투자KIS(합성),57955,2,5,0.01,57952.0,0.73,121367,7033,35518
395270,2,HANARO Fn K-반도체,54125,5,-495,-0.91,54154.0,-11.8393,691906,36395,34153
367380,4,ACE 미국나스닥100,30675,2,90,0.29,30555.0,-10.0435,249853,7633,34049
233740,3,KODEX 코스닥150레버리지,7040,2,30,0.43,7077.0,-56.5541,77728100,520033,33884
273130,6,KODEX 종합채권(AA-이상)액티브,109720,2,80,0.07,109723.0,-1.0157,6893,756,33617
0043B0,6,TIGER 머니마켓액티브,103455,2,15,0.01,103454.0,0.8678,78846,8156,32920
102780,2,KODEX 삼성그룹,25435,2,60,0.24,25465.0,-10.3199,301498,7505,32887
455890,6,RISE 머니마켓액티브,55437,2,2,0.0,55441.0,0.8092,101573,5630,30281
487240,2,KODEX AI전력핵심설비,33645,2,45,0.13,33677.0,-38.9976,2072388,67825,29608
139260,2,TIGER 200 IT,131805,5,-1465,-1.1,131921.0,-13.7113,189975,24350,26414
481050,6,KODEX CD1년금리플러스액티브(합성),1023760,2,90,0.01,1023762.0,0.7577,13015,13324,25673
449170,6,TIGER KOFR금리액티브(합성),111675,3,0,0.0,111680.0,0.6534,48075,5368,24369
426030,4,TIME 미국나스닥100액티브,44670,2,300,0.68,44160.0,-19.765,579964,25601,24149
161510,2,PLUS 고배당주,25180,2,400,1.61,25217.0,-7.9789,410752,10246,24037
472150,2,TIGER 배당커버드콜액티브,20205,5,-85,-0.42,20204.0,-12.3541,3993222,78924,23702
486290,4,TIGER 미국나스닥100타겟데일리커버드콜,10515,2,25,0.24,10479.0,-10.3409,1507404,15787,23301
278540,1,KODEX MSCI Korea TR,37585,5,-195,-0.52,37586.0,-13.1994,12367,453,23040
0193T0,2,KODEX SK하이닉스단일종목레버리지,9635,5,-280,-2.82,9652.0,,27910456,251066,22329
456600,4,TIME 글로벌AI인공지능액티브,56385,2,120,0.21,56052.0,-13.3719,188683,10524,20772
284430,6,KODEX 200미국채혼합50,20665,5,-40,-0.19,20690.0,-10.1965,851779,17396,20186
292150,2,TIGER 코리아TOP10,37265,5,-200,-0.53,37284.0,-12.4543,229906,8391,20086
385540,6,RISE 종합채권(A-이상)액티브,102790,2,50,0.05,102782.0,-0.8493,408,41,19050
214980,6,KODEX 단기채권PLUS,114560,5,-5,0.0,114583.0,0.6349,21314,2441,18365
294400,1,KIWOOM 200TR,138480,5,-685,-0.49,138664.0,-13.8618,506780,68757,17656
105190,1,ACE 200,105715,5,-520,-0.49,105839.0,-14.114,280274,28967,17179
441640,4,KODEX 미국배당커버드콜액티브,12760,2,55,0.43,12765.0,-3.2021,510724,6508,16875
442580,4,PLUS 글로벌HBM반도체,97935,5,-305,-0.31,97126.0,-5.5521,523190,50313,16855
477080,6,RISE CD금리액티브(합성),107395,2,10,0.01,107395.0,0.6938,7964,855,16660
305720,2,KODEX 2차전지산업,14360,5,-200,-1.37,14374.0,-25.9975,1582319,22541,16629
329200,2,TIGER 리츠부동산인프라,4115,3,0,0.0,4110.0,-1.6014,1443000,5928,15509
368590,4,RISE 미국나스닥100,29760,2,80,0.27,29644.0,-9.9514,90402,2678,15297
446770,4,ACE 글로벌반도체TOP4 Plus,75245,5,-435,-0.57,74934.0,-11.3288,45396,3369,15199
0177N0,7,KODEX 삼성전자SK하이닉스채권혼합50,13955,5,-105,-0.75,13961.0,-2.252,4289592,59088,15099
453850,6,ACE 미국30년국채액티브(H),7165,5,-5,-0.07,7175.0,-1.1914,623303,4469,15054
379780,4,RISE 미국S&P500,22980,2,50,0.22,22946.0,-6.388,79462,1822,14753
466920,2,SOL 조선TOP3플러스,27640,2,510,1.88,27648.0,-29.4776,637868,17349,14691
152100,1,PLUS 200,106980,5,-635,-0.59,107179.0,-14.0646,513118,53781,14603
0193W0,2,KODEX 삼성전자단일종목레버리지,11390,5,-315,-2.69,11421.0,,8135934,88725,14591
487230,4,KODEX 미국AI전력핵심인프라,19205,2,180,0.95,19005.0,-28.2479,364514,6941,14500
475630,7,TIGER CD1년금리액티브(합성),1075265,2,80,0.01,1075266.0,0.759,26591,28592,14492
436140,6,SOL 종합채권(AA-이상)액티브,106075,2,90,0.08,106075.0,-0.8282,10,1,13625
0195S0,2,TIGER SK하이닉스단일종목레버리지,8155,5,-245,-2.92,8176.0,,14739178,112364,13613
232080,1,TIGER 코스닥150,14405,2,35,0.24,14437.0,-28.7909,4723667,66399,13417
226490,1,KODEX 코스피,68615,5,-325,-0.47,68712.0,-14.1457,179350,12054,13208
091230,2,TIGER 반도체,129945,2,1245,0.97,130044.0,-20.9859,87425,10994,13150
0072R0,5,TIGER KRX금현물,13855,5,-25,-0.18,13807.0,-4.3089,1757068,24494,12823
157450,6,TIGER 단기통안채,112480,2,10,0.01,112485.0,0.6127,13941,1568,12650
448330,1,KODEX 삼성전자채권혼합,17270,5,-50,-0.29,17258.0,-0.738,596430,10234,12624
390390,4,KODEX 미국반도체,51970,2,190,0.37,51467.0,-12.2468,513891,26485,12447
438080,7,ACE 미국S&P500미국채혼합50액티브,14075,2,35,0.25,14058.0,-7.3574,334324,4695,12287
0183J0,4,TIGER 미국우주테크,7800,5,-170,-2.13,7744.0,-45.6159,782068,6044,11423
469150,2,ACE AI반도체TOP3+,55880,2,325,0.59,55995.0,-24.2553,263675,14272,10813
