itemcode,etfTabCode,itemname,nowVal,risefall,changeVal,changeRate,nav,threeMonthEarnRate,quant,amonut,marketSum
069500,1,KODEX 200,111570,5,-530,-0.47,111675.0,-13.682,1913681,213732,258842
360750,4,TIGER 미국S&P500,25405,5,-55,-0.22,25361.0,-8.424,2083281,52965,200814
133690,4,TIGER 미국나스닥100,174545,5,-440,-0.25,174441.0,-11.646,487791,85162,114170
102110,1,TIGER 200,111835,5,-565,-0.5,111875.0,-13.5423,902227,100974,103951
396500,2,TIGER 반도체TOP10,37870,5,-260,-0.68,37884.0,-22.8294,1748677,66274,100886
379800,4,KODEX 미국S&P500,23095,5,-45,-0.19,23053.0,-8.4443,1796007,41491,99470
379810,4,KODEX 미국나스닥100,26095,5,-70,-0.27,26081.0,-11.6213,3588676,93663,89871
488770,7,KODEX 머니마켓액티브,105477,2,12,0.01,105491.0,0.851,76798,8100,80122
278530,1,KODEX 200TR,40405,5,-195,-0.48,40443.0,-13.6171,70708,2863,78850
459580,6,KODEX CD금리액티브(합성),1074487,2,277,0.03,1074504.0,0.7257,151757,163060,65464
498400,2,KODEX 200타겟위클리커버드콜,21100,5,-80,-0.38,21105.0,-13.3387,985556,20842,60979
091160,2,KODEX 반도체,134810,5,-790,-0.58,134846.0,-14.5019,241932,32636,58171
122630,3,KODEX 레버리지,114315,5,-1265,-1.09,114446.0,-37.8218,2269636,260091,57672
0167A0,2,SOL AI반도체TOP2플러스,18030,5,-165,-0.91,18038.0,-23.3088,1826385,32998,56758
381180,4,TIGER 미국필라델피아반도체나스닥,41485,5,-5,-0.01,41574.0,-20.2309,104444,4339,56233
229200,1,KODEX 코스닥150,13930,5,-190,-1.35,13973.0,-15.7518,4012933,55764,48093
310970,1,TIGER MSCI Korea TR,49785,5,-205,-0.41,49912.0,-13.7435,1222,60,46200
148020,1,RISE 200,112380,5,-585,-0.52,112455.0,-13.5933,67702,7630,45402
0162Z0,7,RISE 삼성전자SK하이닉스채권혼합50,13785,5,-30,-0.22,13806.0,-4.9175,1082500,14958,41934
458730,4,TIGER 미국배당다우존스,14425,5,-65,-0.45,14416.0,-5.9128,206809,2985,41804
395160,2,KODEX AI반도체TOP2플러스,41145,5,-230,-0.56,41194.0,-19.59,754073,31118,41351
411060,5,ACE KRX금현물,26550,5,-40,-0.15,26517.0,-9.0007,62850,1669,39613
360200,4,ACE 미국S&P500,25680,5,-65,-0.25,25639.0,-8.3553,243058,6246,38623
0043B0,6,TIGER 머니마켓액티브,103625,2,30,0.03,103627.0,0.9009,13114,1358,38392
381170,4,TIGER 미국테크TOP10 INDXX,29980,5,-110,-0.37,29961.0,-9.8157,188857,5670,36995
395270,2,HANARO Fn K-반도체,58570,5,-520,-0.88,58606.0,-18.3728,283686,16681,36753
423160,6,KODEX KOFR금리액티브(합성),110742,2,2,0.0,110726.0,0.693,25592,2834,35640
357870,6,TIGER CD금리투자KIS(합성),58040,2,15,0.03,58041.0,0.7465,15184,881,35541
273130,6,KODEX 종합채권(AA-이상)액티브,109655,5,-160,-0.15,109698.0,-0.3042,356,39,34254
367380,4,ACE 미국나스닥100,30000,5,-80,-0.27,29986.0,-11.6456,140250,4209,33840
102780,2,KODEX 삼성그룹,26400,5,-200,-0.75,26425.0,-14.9889,31537,834,33818
233740,3,KODEX 코스닥150레버리지,6795,5,-170,-2.44,6810.0,-38.4446,12748141,86300,33696
487240,2,KODEX AI전력핵심설비,36480,5,-1020,-2.72,36361.0,-12.4692,857694,31333,31884
455890,6,RISE 머니마켓액티브,55520,2,10,0.02,55525.0,0.8264,17143,951,29470
139260,2,TIGER 200 IT,141360,5,-695,-0.49,141656.0,-18.8556,19677,2790,27763
0193T0,2,KODEX SK하이닉스단일종목레버리지,11985,5,-15,-0.12,11994.0,-53.4252,5865175,70893,27613
472150,2,TIGER 배당커버드콜액티브,20840,5,-90,-0.43,20873.0,-12.2242,478762,10007,25639
481050,6,KODEX CD1년금리플러스액티브(합성),1022645,2,275,0.03,1022466.0,0.7829,22747,23262,25141
426030,4,TIME 미국나스닥100액티브,45615,5,-350,-0.76,45758.0,-18.1171,47645,2176,24833
278540,1,KODEX MSCI Korea TR,39660,5,-275,-0.69,39733.0,-13.3732,2229,88,24272
161510,2,PLUS 고배당주,25325,2,35,0.14,25334.0,-2.0575,95649,2420,24244
449170,6,TIGER KOFR금리액티브(합성),111835,2,20,0.02,111808.0,0.6707,6757,755,24042
486290,4,TIGER 미국나스닥100타겟데일리커버드콜,10165,5,-20,-0.2,10157.0,-11.897,204396,2079,24035
385540,6,RISE 종합채권(A-이상)액티브,102665,5,-300,-0.29,102789.0,-0.1504,20,2,21004
292150,2,TIGER 코리아TOP10,39370,5,-65,-0.16,39397.0,-13.5618,41352,1631,20945
456600,4,TIME 글로벌AI인공지능액티브,57425,5,-165,-0.29,57524.0,-14.8518,16846,967,20765
284430,6,KODEX 200미국채혼합50,20830,5,-60,-0.29,20847.0,-11.7007,87248,1821,20180
294400,1,KIWOOM 200TR,146385,5,-820,-0.56,146632.0,-13.4089,207,30,18737
305720,2,KODEX 2차전지산업,15605,2,130,0.84,15588.0,-7.7497,1599199,24700,18211
214980,6,KODEX 단기채권PLUS,114675,2,5,0.0,114721.0,0.7227,4821,552,17904
