itemcode,etfTabCode,itemname,nowVal,risefall,changeVal,changeRate,nav,threeMonthEarnRate,quant,amonut,marketSum
069500,1,KODEX 200,109645,5,-415,-0.38,109976.0,-11.6723,15882761,1765599,258927
360750,4,TIGER 미국S&P500,27030,5,-380,-1.39,27109.0,-0.4276,30648333,829324,206766
133690,4,TIGER 미국나스닥100,186235,5,-2340,-1.24,187472.0,-3.1159,2177555,406510,116304
102110,1,TIGER 200,109900,5,-475,-0.43,110245.0,-11.4085,9050531,1006823,105834
379800,4,KODEX 미국S&P500,24575,5,-335,-1.34,24643.0,-0.4618,17660060,434435,101556
396500,2,TIGER 반도체TOP10,36745,2,505,1.39,36802.0,-27.6142,12503697,468084,98256
379810,4,KODEX 미국나스닥100,27840,5,-345,-1.22,28029.0,-3.118,14290960,398569,94252
488770,7,KODEX 머니마켓액티브,105255,3,0,0.0,105263.0,0.8721,699528,73629,80393
278530,1,KODEX 200TR,39695,5,-170,-0.43,39827.0,-11.6859,1331463,53636,79311
459580,6,KODEX CD금리액티브(합성),1075030,2,80,0.01,1075170.0,0.7256,417960,449318,66339
122630,3,KODEX 레버리지,112745,5,-780,-0.69,113194.0,-35.8978,14910735,1735446,62179
381180,4,TIGER 미국필라델피아반도체나스닥,45785,5,-50,-0.11,46409.0,-2.7436,1431354,65789,61604
498400,2,KODEX 200타겟위클리커버드콜,20690,5,-60,-0.29,20735.0,-11.6175,7595919,160362,60332
0167A0,2,SOL AI반도체TOP2플러스,18130,2,85,0.47,18157.0,-5.0014,22270468,412223,58388
091160,2,KODEX 반도체,128310,2,2060,1.63,128442.0,-19.6883,1969092,256204,57034
229200,1,KODEX 코스닥150,14575,5,-255,-1.72,14647.0,-25.5149,26093276,384608,53388
148020,1,RISE 200,110480,5,-405,-0.37,110792.0,-11.7741,1125470,126129,46954
310970,1,TIGER MSCI Korea TR,49285,3,0,0.0,49169.0,-11.1582,26655,1326,44701
458730,4,TIGER 미국배당다우존스,15350,5,-105,-0.68,15320.0,3.6915,1981623,30404,42896
395160,2,KODEX AI반도체TOP2플러스,40950,5,-50,-0.12,41011.0,0.5641,6451624,270233,41319
0162Z0,7,RISE 삼성전자SK하이닉스채권혼합50,13450,2,60,0.45,13466.0,-1.9143,7770899,105514,41292
411060,5,ACE KRX금현물,27935,2,310,1.12,27915.0,-11.002,881027,24711,41120
360200,4,ACE 미국S&P500,27320,5,-380,-1.37,27405.0,-0.4594,928518,25394,40297
233740,3,KODEX 코스닥150레버리지,7535,5,-280,-3.58,7592.0,-52.808,100942589,780476,38828
381170,4,TIGER 미국테크TOP10 INDXX,31270,5,-605,-1.9,31436.0,-8.313,762845,23877,38493
395270,2,HANARO Fn K-반도체,57990,2,20,0.03,58082.0,-1.3529,2077767,123483,36650
423160,6,KODEX KOFR금리액티브(합성),110810,2,10,0.01,110797.0,0.6976,94327,10452,36109
357870,6,TIGER CD금리투자KIS(합성),57917,2,2,0.0,57918.0,0.7392,160465,9293,35495
367380,4,ACE 미국나스닥100,32020,5,-390,-1.2,32231.0,-3.1397,475496,15266,35350
102780,2,KODEX 삼성그룹,26640,5,-510,-1.88,26660.0,-0.0185,637688,17226,34392
273130,6,KODEX 종합채권(AA-이상)액티브,109320,5,-305,-0.28,109499.0,-1.6331,5329,582,33448
487240,2,KODEX AI전력핵심설비,37150,2,410,1.12,37247.0,-35.1965,2977183,111250,32655
455890,6,RISE 머니마켓액티브,55402,2,2,0.0,55405.0,0.8005,251953,13958,30050
0043B0,6,TIGER 머니마켓액티브,103375,2,15,0.01,103375.0,0.8685,113342,11716,29308
139260,2,TIGER 200 IT,140995,5,-670,-0.47,141177.0,-5.4229,414016,59664,28537
426030,4,TIME 미국나스닥100액티브,49290,2,670,1.38,49880.0,-11.6161,721090,35687,26301
481050,6,KODEX CD1년금리플러스액티브(합성),1023105,2,95,0.01,1023127.0,0.7636,27077,27702,25656
0193T0,2,KODEX SK하이닉스단일종목레버리지,10335,2,555,5.67,10388.0,,35365163,378334,25424
449170,6,TIGER KOFR금리액티브(합성),111620,2,5,0.0,111623.0,0.6628,72237,8063,24367
161510,2,PLUS 고배당주,25405,5,-170,-0.66,25432.0,-7.803,584300,14905,24137
278540,1,KODEX MSCI Korea TR,39155,5,-40,-0.1,39145.0,-10.2884,46457,1843,23924
486290,4,TIGER 미국나스닥100타겟데일리커버드콜,10975,5,-105,-0.95,11042.0,-3.7131,1463918,16105,23865
472150,2,TIGER 배당커버드콜액티브,20950,5,-25,-0.12,20948.0,-10.2866,4390292,93321,23736
456600,4,TIME 글로벌AI인공지능액티브,61010,2,20,0.03,61646.0,-5.2804,201537,12440,22537
284430,6,KODEX 200미국채혼합50,21320,5,-120,-0.56,21326.0,-6.8074,756666,16274,20894
292150,2,TIGER 코리아TOP10,38485,5,-45,-0.12,38524.0,-12.0061,812223,31631,20743
385540,6,RISE 종합채권(A-이상)액티브,102260,5,-370,-0.36,102281.0,-1.5162,897,91,18999
105190,1,ACE 200,109860,5,-445,-0.4,110220.0,-11.971,318318,35492,18896
294400,1,KIWOOM 200TR,143895,5,-675,-0.47,144339.0,-11.551,119421,17312,18562
214980,6,KODEX 단기채권PLUS,114530,2,10,0.01,114542.0,0.6393,17517,2006,18402
442580,4,PLUS 글로벌HBM반도체,105345,2,2380,2.31,106618.0,-2.1757,624083,66945,18298
0193W0,2,KODEX 삼성전자단일종목레버리지,13220,5,-310,-2.29,13260.0,,11632779,162521,17986
441640,4,KODEX 미국배당커버드콜액티브,13005,5,-50,-0.38,12995.0,2.2444,884170,11492,17076
305720,2,KODEX 2차전지산업,14410,5,-440,-2.96,14437.0,-27.9302,2216503,32285,16730
477080,6,RISE CD금리액티브(합성),107330,3,0,0.0,107337.0,0.7131,4894,525,16650
487230,4,KODEX 미국AI전력핵심인프라,21950,2,460,2.14,22172.0,-22.6393,939464,20724,16430
446770,4,ACE 글로벌반도체TOP4 Plus,80780,2,35,0.04,81502.0,-6.0863,77585,6320,16277
152100,1,PLUS 200,111335,5,-415,-0.37,111645.0,-11.2895,447634,50454,15865
368590,4,RISE 미국나스닥100,31065,5,-390,-1.24,31267.0,-3.0387,349074,10859,15750
466920,2,SOL 조선TOP3플러스,29115,5,-1035,-3.43,29132.0,-22.6924,1042818,30775,15591
379780,4,RISE 미국S&P500,23625,5,-335,-1.4,23697.0,-0.3779,272146,6435,15545
329200,2,TIGER 리츠부동산인프라,4092,5,-43,-1.04,4102.0,-2.604,2783440,11417,15392
0177N0,7,KODEX 삼성전자SK하이닉스채권혼합50,14210,2,65,0.46,14214.0,-2.1353,5325816,76372,15290
0195S0,2,TIGER SK하이닉스단일종목레버리지,8775,2,455,5.47,8809.0,,18513604,167866,15143
453850,6,ACE 미국30년국채액티브(H),7062,5,-103,-1.44,7070.0,-2.062,1172713,8289,14802
475630,7,TIGER CD1년금리액티브(합성),1074580,3,0,0.0,1074584.0,0.776,25971,27907,14532
232080,1,TIGER 코스닥150,14870,5,-260,-1.72,14933.0,-25.4497,3475605,52336,13903
091230,2,TIGER 반도체,135880,2,2090,1.56,136051.0,-18.9783,177876,24507,13805
390390,4,KODEX 미국반도체,56370,5,-280,-0.49,57090.0,-3.2647,762878,43132,13472
436140,6,SOL 종합채권(AA-이상)액티브,105550,5,-445,-0.42,105664.0,-1.4505,36,3,13363
0183J0,4,TIGER 미국우주테크,9000,2,155,1.75,9138.0,-32.8908,1652211,14915,13190
157450,6,TIGER 단기통안채,112435,2,10,0.01,112430.0,0.6355,25624,2880,12946
448330,1,KODEX 삼성전자채권혼합,17525,5,-55,-0.31,17515.0,0.6088,826983,14624,12846
438080,7,ACE 미국S&P500미국채혼합50액티브,14410,5,-110,-0.76,14411.0,-2.3866,487589,7031,12493
0072R0,5,TIGER KRX금현물,13340,2,165,1.25,13340.0,-11.1299,692637,9277,12346
497570,4,TIGER 미국필라델피아AI반도체나스닥,22780,5,-255,-1.11,23065.0,0.4238,370229,8470,11606
445290,2,KODEX 로봇액티브,33075,5,-875,-2.58,33132.0,-19.5188,699132,23745,11527
469150,2,ACE AI반도체TOP3+,59320,2,890,1.52,59373.0,-21.7386,612864,36945,11508
226490,1,KODEX 코스피,71320,5,-240,-0.34,71358.0,-12.0788,1503988,108145,11269
449450,2,PLUS K방산,57070,5,-1450,-2.48,57168.0,-19.5049,327217,18958,11203
494890,1,KODEX 200액티브,31620,5,-105,-0.33,31716.0,-11.9363,360236,11607,11067
465580,4,ACE 미국빅테크TOP7 Plus,24750,5,-520,-2.06,24877.0,-3.0129,400231,9931,10964
494310,2,KODEX 반도체레버리지,79585,2,2565,3.33,80012.0,-51.407,4769250,389257,10903
0139F0,6,TIGER 12월자동연장금융채(AA-이상)액티브,101985,5,-10,-0.01,101998.0,0.6662,456,46,10788
446720,4,SOL 미국배당다우존스,14075,5,-90,-0.64,14043.0,3.5883,439196,6176,10500
455850,2,SOL AI반도체소부장,24675,2,720,3.01,24717.0,-27.9116,3047314,75477,10475
0195R0,2,TIGER 삼성전자단일종목레버리지,12030,5,-260,-2.12,12062.0,,6246650,79271,10460
479520,6,RISE KOFR금리액티브(합성),106225,5,-20,-0.02,106253.0,0.6727,4713,500,10311
0117V0,2,TIGER 코리아AI전력기기TOP3플러스,19275,2,175,0.92,19316.0,-33.4981,1665049,32230,10264
295040,1,SOL 200TR,41165,5,-115,-0.28,41238.0,-11.6722,283182,11750,10127
449180,4,KODEX 미국S&P500(H),17230,5,-185,-1.06,17285.0,4.2207,575252,9932,10123
